# 1: Tile name,# 2: Right ascension (degr,# 3: Declination (degr,# 4: Filter,# 5: Date (start of observation,# 6: Average PSF FWHM (arcsec),# 7: Average PSF ellipticity,# 8: Limiting magnitude (5 sigma,# 9: 98% completeness (mag),# 10: Average effective gain,# 11: Quality grade
KIDS_43.7_-30.2,43.706,-30.17,g,12/21/14 03:51 AM,1.1,0.03,25.28,24.04,1.71E+13,B
KIDS_52.3_-33.1,52.277,-33.137,r,11/18/12 05:56 AM,0.71,0.05,25,23.99,2.90E+13,C
KIDS_332.0_-31.2,332.039,-31.159,u,10/24/14 01:08 AM,1.05,0.04,24.1,22.95,3.21E+12,B
KIDS_45.1_-33.1,45.149,-33.137,u,11/08/12 05:28 AM,0.99,0.03,24.21,23.05,3.41E+12,B
KIDS_218.0_-0.5,218,-0.5,g,04/14/15 06:55 AM,1.01,0.06,24.87,23.73,1.60E+13,A
KIDS_344.9_-31.2,344.854,-31.159,i,11/10/11 03:04 AM,1.05,0.04,23.41,22.17,1.34E+13,B
KIDS_217.0_1.5,217,1.489,g,05/13/15 05:35 AM,0.69,0.05,24.99,23.98,1.56E+13,A
KIDS_218.0_-0.5,218,-0.5,i,03/24/13 06:11 AM,0.62,0.06,23.84,23.01,1.35E+13,B
KIDS_180.5_-2.5,180.501,-2.478,g,04/19/14 12:44 AM,0.9,0.04,25.11,24,1.71E+13,B
KIDS_173.0_-0.5,173,-0.5,r,04/09/13 04:18 AM,0.61,0.05,24.89,23.97,3.17E+13,A
KIDS_218.0_-0.5,218,-0.5,r,04/28/14 04:09 AM,0.58,0.06,24.9,24.1,3.13E+13,B
KIDS_211.6_-2.5,211.588,-2.478,u,02/25/15 08:44 AM,0.92,0.05,24.09,22.97,3.07E+12,B
KIDS_221.0_-0.5,221,-0.5,g,05/14/15 05:53 AM,0.7,0.06,25.08,24.04,1.62E+13,B
KIDS_0.0_-33.1,0,-33.137,r,09/26/14 01:45 AM,0.63,0.04,24.94,24.02,2.77E+13,A
KIDS_175.5_2.5,175.487,2.478,i,12/29/12 07:02 AM,1.08,0.07,23.46,22.24,1.37E+13,B
KIDS_210.6_-2.5,210.585,-2.478,i,06/08/12 04:45 AM,0.86,0.04,23.56,22.47,1.27E+13,C
KIDS_1.2_-32.1,1.176,-32.148,i,10/05/11 02:31 AM,0.56,0.05,23.94,23.03,1.36E+13,B
KIDS_175.5_2.5,175.487,2.478,g,05/10/15 11:56 PM,0.89,0.06,25.17,24.05,1.73E+13,A
KIDS_339.8_-33.1,339.802,-33.137,u,08/31/11 03:23 AM,0.89,0.04,24.33,23.23,3.46E+12,B
KIDS_346.2_-30.2,346.198,-30.17,r,07/20/14 06:02 AM,0.51,0.05,25.07,24.33,3.10E+13,B
KIDS_37.2_-34.1,37.2,-34.126,r,11/25/14 02:59 AM,0.85,0.05,25.19,24.14,3.18E+13,B
KIDS_175.5_2.5,175.487,2.478,r,04/22/14 12:39 AM,0.64,0.05,24.88,23.96,3.01E+13,B
KIDS_339.8_-33.1,339.802,-33.137,r,09/30/14 12:54 AM,0.76,0.04,24.85,23.84,3.03E+13,B
KIDS_346.2_-30.2,346.198,-30.17,i,07/01/12 05:20 AM,0.74,0.05,23.39,22.36,1.29E+13,C
KIDS_236.0_-0.5,236,-0.5,u,05/06/14 06:27 AM,0.83,0.04,24.14,22.77,3.27E+12,B
KIDS_340.8_-34.1,340.8,-34.126,g,05/07/14 08:52 AM,0.65,0.06,24.94,24.03,1.62E+13,A
KIDS_210.6_-2.5,210.585,-2.478,g,03/25/14 06:38 AM,0.68,0.05,24.76,23.69,1.67E+13,B
KIDS_234.0_-0.5,234,-0.5,i,07/16/14 02:42 AM,0.7,0.05,23.68,22.67,1.34E+13,B
KIDS_237.0_-0.5,237,-0.5,r,04/09/13 08:57 AM,0.82,0.04,24.77,23.72,3.15E+13,A
KIDS_339.3_-30.2,339.297,-30.17,u,10/22/13 12:42 AM,1.01,0.04,24.25,23.09,3.50E+12,A
