,GAMA_ID,
0,198082,spec
1,202448,
2,204140,
3,209295,
4,377486,
5,383284,
6,388201,
7,573657,
8,575653,
9,136800,
10,164640,None
11,273903,
12,289278,
13,583469,
14,14983,
15,15554,
16,65298,
17,77892,
18,106821,
19,320384,
20,485756,
21,508116,spec
22,376338,mac
23,197972,
24,371400,
25,204703,
26,345423,
27,561459,
28,584826,
29,98583,
30,583457,
31,231281,
32,145278,
33,561967,
34,585328,
35,136604,
36,49576,
37,15790,
38,569270,
39,107432,
40,92918,
41,92606,
42,250289,mac
43,84050,zoo
44,40666,
45,55245,
46,560204,
47,144068,
48,289994,
49,491505,
50,543556,
51,93310,
52,136604,
53,371601,
54,600679,
55,324764,
56,320551,
57,418788,
58,202397,
59,422113,
60,372045,
61,197611,
62,287627,
63,39718,
64,40957,
65,272460,
66,586565,
67,16199,
68,299118,
69,594681,
70,543671,
