Name,RA,DEC,Type,mag g,mag r,mag z,Probability,z,Survey
DESI-011.5084-01.9412,11.5084,-1.9412,DEV,20.94,19.19,17.97,0.936,0.5501,BOSS
DESI-015.8164+00.0823,15.8164,0.0823,DEV,19.64,18.08,17.21,1,0.2662,SDSS
DESI-016.3319+01.7490,16.3319,1.749,DEV,19.95,18.17,17.27,0.987,0.3612,BOSS
DESI-016.5230+00.5463,16.523,0.5463,DEV,21.52,19.66,18.25,1,0.5941,BOSS
DESI-018.1074+02.3773,18.1074,2.3773,DEV,21.27,19.35,18.12,0.948,0.5039,BOSS
DESI-019.4949-05.4550,19.4949,-5.455,DEV,21.41,19.66,18.37,0.984,0.5797,BOSS
DESI-019.6618-05.4441,19.6618,-5.4441,DEV,22.3,20.38,18.99,0.969,,
DESI-022.7106-16.0024,22.7106,-16.0024,COMP,19.44,18.64,17.61,0.948,,
DESI-024.1631+00.1384,24.1631,0.1384,COMP,18.83,17.18,16.29,0.998,0.3441,SDSS
DESI-025.2755-17.2232,25.2755,-17.2232,DEV,20.43,18.96,17.62,0.989,,
DESI-026.1390-11.7026,26.139,-11.7026,COMP,20.09,18.39,17,0.961,,
DESI-026.2679-04.9310,26.2679,-4.931,COMP,20.75,19.67,18.43,0.998,,
DESI-026.4848+04.0413,26.4848,4.0413,DEV,22.29,20.78,19.05,0.927,,
DESI-027.3284-13.8180,27.3284,-13.818,DEV,22.13,20.95,19.22,0.998,,
DESI-027.9723-14.8069,27.9723,-14.8069,DEV,21.62,20.51,18.9,1,,
DESI-029.6032-00.6665,29.6032,-0.6665,DEV,21.05,19.45,17.94,0.918,0.597,SDSS
DESI-030.2832-15.8547,30.2832,-15.8547,DEV,21.12,19.26,18.16,0.997,,
DESI-031.1712-15.0266,31.1712,-15.0266,DEV,20.08,18.35,17.4,0.996,,
DESI-036.1436-00.0411,36.1436,-0.0411,DEV,21.67,20.33,18.78,0.962,0.7846,eBOSS
DESI-036.4422-07.6274,36.4422,-7.6274,DEV,20.98,19.08,17.89,0.99,0.5138,BOSS
DESI-037.0378-12.8812,37.0378,-12.8812,DEV,20.39,19.01,17.92,0.997,,
DESI-038.2078-03.3906,38.2078,-3.3906,DEV,20.08,18.39,17.4,0.999,,
DESI-040.3034-00.9646,40.3034,-0.9646,DEV,19.27,17.83,17.02,0.999,0.2418,SDSS
DESI-040.3168-06.5372,40.3168,-6.5372,DEV,20.63,18.94,17.96,0.997,,
DESI-041.5205-06.1275,41.5205,-6.1275,DEV,23.97,21.99,19.92,0.999,,
DESI-060.1043-16.3979,60.1043,-16.3979,DEV,19.05,17.88,17.16,0.987,,
DESI-060.2420-13.9567,60.242,-13.9567,DEV,21.07,19.54,18.11,0.931,,
DESI-122.0852+10.5284,122.0852,10.5284,DEV,19.94,18.14,17.1,0.997,0.4754,SDSS
DESI-133.5531-04.4026,133.5531,-4.4026,DEV,21.8,20.45,18.72,0.849,,
DESI-133.6197+10.1374,133.6197,10.1374,DEV,19.06,17.44,16.57,0.989,0.2978,SDSS
DESI-135.3125+09.9401,135.3125,9.9401,COMP,24.28,20.96,18.89,0.993,,
DESI-137.8568+14.2991,137.8568,14.2991,DEV,20.61,18.8,17.51,0.969,0.5464,BOSS
DESI-140.8110+18.4954,140.811,18.4954,DEV,20.2,19.6,18.65,0.875,0.8732,BOSS
DESI-141.0626+05.7690,141.0626,5.769,DEV,21.17,19.48,17.98,0.952,0.6128,BOSS
DESI-143.3887+09.3219,143.3887,9.3219,DEV,22.16,20.41,18.71,0.999,0.743,BOSS
DESI-145.9507+00.9906,145.9507,0.9906,COMP,20.53,18.97,17.9,1,,
DESI-152.0763+31.7005,152.0763,31.7005,COMP,21.23,19.45,18.18,0.991,0.5394,SDSS
DESI-154.6972-01.3590,154.6972,-1.359,DEV,20.53,18.72,17.79,1,0.3883,BOSS
DESI-155.7366-05.0529,155.7366,-5.0529,DEV,20.64,19,17.54,0.987,,
DESI-160.2351-01.0663,160.2351,-1.0663,DEV,17.8,16.33,15.51,0.942,0.2502,SDSS
DESI-162.4577+05.7749,162.4577,5.7749,DEV,18.76,17.37,16.55,0.997,0.264,SDSS
DESI-165.6876+12.1864,165.6876,12.1864,DEV,23.23,21.46,19.36,0.983,,
DESI-168.2943+23.9443,168.2943,23.9443,DEV,17.44,15.82,14.95,0.968,0.3361,SDSS
DESI-186.3033-00.4390,186.3033,-0.439,COMP,19.49,18.17,17.44,0.987,,
DESI-186.8292+17.4324,186.8292,17.4324,COMP,21.56,19.95,19.01,0.903,,
DESI-189.5370+15.0309,189.537,15.0309,DEV,20.38,18.69,17.37,0.998,,
DESI-194.5344+03.5358,194.5344,3.5358,DEV,19.9,18.29,17.31,0.989,0.4279,BOSS
DESI-202.6690+04.6707,202.669,4.6707,DEV,18.84,17.21,16.33,0.987,0.3363,SDSS
