Name,RA,DEC,Type,mag g,mag r,mag z,Probability,z,Survey
DESI-005.6187+01.8037,5.6187,1.8037,DEV,20.93,20.09,18.59,0.889,,
DESI-009.1701+00.7687,9.1701,0.7687,DEV,21.91,20.44,18.82,0.964,,
DESI-009.9772-12.2100,9.9772,-12.21,DEV,21.93,20.06,18.91,0.9,,
DESI-010.2401-09.0954,10.2401,-9.0954,COMP,21.7,20.14,18.99,0.99,,
DESI-010.2876-00.7303,10.2876,-0.7303,DEV,21.33,19.67,18.4,0.898,0.5633,SDSS
DESI-010.3630-01.1298,10.363,-1.1298,DEV,29.52,22.73,20.78,0.909,,
DESI-011.0219-04.8058,11.0219,-4.8058,DEV,23.15,21.1,19.2,0.896,0.7715,eBOSS
DESI-011.9235-06.1032,11.9235,-6.1032,DEV,22.45,20.55,19.34,0.815,,
DESI-012.5310-18.6438,12.531,-18.6438,DEV,19.43,17.72,16.85,0.929,,
DESI-014.0105+03.0152,14.0105,3.0152,DEV,22.19,20.35,19.07,0.97,0.5367,BOSS
DESI-014.0683-01.3924,14.0683,-1.3924,DEV,20.16,18.96,17.75,0.989,,
DESI-014.0730-02.4262,14.073,-2.4262,DEV,20.98,19.34,18.41,0.994,,
DESI-014.4452-16.7457,14.4452,-16.7457,DEV,21.64,19.79,18.56,1,,
DESI-014.6199-00.4627,14.6199,-0.4627,DEV,21.53,20.4,19.21,0.951,,
DESI-015.0641-00.2718,15.0641,-0.2718,COMP,21,19.31,18.33,1,0.4287,SDSS
DESI-015.0721+00.0027,15.0721,0.0027,DEV,20.04,18.53,17.75,0.958,0.2758,BOSS
DESI-015.2668-17.5344,15.2668,-17.5344,COMP,20.63,19.31,18.41,0.997,,
DESI-015.2991+00.1673,15.2991,0.1673,DEV,21.55,19.97,18.99,0.985,,
DESI-015.3533-17.0192,15.3533,-17.0192,DEV,22.03,20.28,19.11,0.902,,
DESI-015.3806+00.5700,15.3806,0.57,DEV,22.56,20.98,19.4,0.987,,
DESI-015.4415+03.2399,15.4415,3.2399,DEV,20.93,19.42,18.39,0.968,0.5518,BOSS
DESI-015.5430-00.3184,15.543,-0.3184,DEV,21.43,20.1,18.83,1,0.6376,BOSS
