,GAMA_ID,lambdar_log_mstar,z
0,6802,9.295552,0.05054
5,6816,9.465711,0.07641
7,6821,7.7558823,0.00382
8,6826,10.157218,0.07275
9,6830,9.780202,0.11405
11,6837,9.713865,0.07431
12,6838,9.275171,0.07456
13,6839,10.149904,0.10665
15,6842,9.541802,0.09383
16,6844,10.930121,0.09734
18,6846,10.118209,0.07534
19,6853,10.586832,0.10643
20,6854,11.014369,0.10689
21,6855,11.014022,0.147
24,6859,10.268093,0.09743
26,6861,10.023779,0.12223
28,6879,10.781827,0.09998
29,6880,10.69901,0.10479
30,6881,11.177919,0.10615
31,6882,11.184349,0.10554
32,6884,11.007025,0.10511
33,6885,11.127369,0.13395
34,6886,10.304421,0.11402
39,6900,10.648377,0.10997
40,6901,9.72033,0.09926
41,6903,9.677487,0.12059
42,6906,10.929648,0.07698
46,6916,10.099026,0.13412
48,6926,9.768349,0.09722
49,6929,9.723,0.10793
50,6930,10.297237,0.09568
59,6956,10.316402,0.07461
61,6964,10.156979,0.07542
62,6965,10.35251,0.10816
63,6967,9.97656,0.07481
64,6968,10.574524,0.0994
68,6974,10.886246,0.07378
69,6975,10.191255,0.07531
75,6999,0.46090215,0.00014
76,7000,10.248908,0.11216
77,7001,10.384859,0.07511
78,7002,9.733501,0.07502
79,7003,10.471063,0.10621
81,7005,10.631197,0.11241
83,7008,9.937305,0.11226
84,7010,9.668996,0.13283
85,7011,10.891251,0.13575
86,7012,11.06617,0.13475
97,7039,11.022032,0.13487
98,7040,10.253159,0.10853
106,7060,9.588197,0.07755
109,7070,10.4014435,0.11108
110,7072,1.7075326,6e-05
122,7100,9.410918,0.0899
124,7103,10.050739,0.09032
125,7104,10.3983755,0.0751
127,7107,10.266092,0.12051
136,7130,10.143136,0.07563
137,7135,10.394173,0.06365
139,7137,10.319785,0.13838
140,7138,10.443625,0.11817
141,7139,10.880135,0.0757
142,7140,11.032261,0.13328
146,7162,9.967253,0.12036
149,7167,9.683655,0.10596
150,7176,10.463155,0.12533
152,7179,10.23325,0.10155
153,7182,10.777187,0.10618
159,7203,10.654847,0.09315
160,7205,9.916606,0.13304
161,7206,10.777409,0.09335
162,7209,11.15092,0.09285
163,7210,10.954731,0.12543
173,7246,9.391782,0.09332
175,7254,10.068395,0.10787
176,7255,10.478333,0.1331
187,7287,10.61458,0.1029
189,7289,11.425964,0.08681
191,7291,10.854693,0.12557
192,7292,10.574287,0.14634
193,7293,10.064116,0.08701
196,7302,9.682193,0.10309
198,7311,10.131585,0.12594
200,7313,11.103944,0.12477
201,7314,11.024081,0.12649
202,7315,10.809818,0.12642
208,7333,10.95854,0.12706
211,7339,10.728083,0.10502
212,7340,10.461229,0.10338
214,7346,10.162907,0.12523
216,7355,10.333014,0.10437
220,7368,10.050899,0.1018
221,7369,11.698028,0.12607
222,7370,10.934188,0.12327
223,7371,10.262924,0.12634
224,7372,10.517212,0.12368
225,7375,10.393458,0.12589
226,7376,10.530622,0.07663
227,7377,10.888176,0.12794
228,7379,11.177343,0.12574
234,7385,10.515349,0.12689
235,7386,10.330674,0.12685
240,7404,10.59258,0.10201
244,7409,10.619627,0.12592
247,7422,10.75991,0.12639
249,7434,9.721945,0.07812
251,7436,10.488714,0.1259
252,7438,11.087446,0.13405
254,7454,10.971071,0.1396
255,7456,10.916082,0.13916
256,7457,11.284706,0.13941
257,7460,10.945422,0.14011
258,7461,10.355807,0.14086
261,7472,10.256228,0.13356
262,7473,10.138756,0.14024
263,7475,10.465866,0.13296
265,7480,10.929497,0.12888
267,7483,9.940994,0.0813
269,7487,9.457013,0.10874
270,7489,11.341806,0.12823
271,7490,10.89857,0.10721
272,7492,10.5241995,0.14536
276,7504,10.103759,0.10678
279,7511,9.282213,0.0594
284,7518,9.409961,0.06395
287,7524,10.437784,0.1065
291,7551,7.5128756,0.00844
293,7554,11.046788,0.07821
296,7565,11.021839,0.07903
297,7567,10.51447,0.07625
300,7570,10.60658,0.10621
304,7590,10.920441,0.10606
306,7592,8.987145,0.04884
308,7594,10.483026,0.12211
313,7601,10.644653,0.122
320,7623,9.939773,0.05177
326,7641,10.419369,0.10412
330,7645,11.361079,0.1491
331,7647,10.527122,0.13849
332,7649,10.07634,0.13294
339,7666,10.226365,0.13303
343,7681,0.5701442,0.00021
346,7684,9.871797,0.10308
349,7688,9.085234,0.03244
351,7690,10.826575,0.10309
353,7703,11.18243,0.07798
355,7711,9.502857,0.07659
358,7715,11.178389,0.07795
362,7735,9.760859,0.09573
363,7740,10.397626,0.13043
364,7742,10.483815,0.07653
365,7743,10.938734,0.13305
366,7745,9.920392,0.10958
368,7747,10.224029,0.12857
369,7749,9.98844,0.07789
370,7752,10.509387,0.13219
372,7755,10.969747,0.12318
373,7756,9.866176,0.13088
377,7761,11.046781,0.13096
378,7765,10.517838,0.06218
382,7782,10.774533,0.13016
386,7791,10.619847,0.13682
387,7793,10.883112,0.07757
389,7796,8.886765,0.04668
390,7797,10.003824,0.0468
392,7802,9.35074,0.04666
393,7803,10.35629,0.12349
394,7804,10.130305,0.0652
395,7805,9.997113,0.10403
396,7809,10.566605,0.13065
404,7839,11.358407,0.04749
405,7840,11.060035,0.04742
406,7841,11.065242,0.07851
407,7846,10.845416,0.06506
409,7848,8.836149,0.03937
410,7849,10.864966,0.07802
411,7850,9.928035,0.07828
