,ID,score,P1,P3,RA,DEC,DISC
0,2251.0,64.0,0.887,0.9009999999999999,131.33397,-0.9156299999999999,0.0
1,2660.0,30.0,0.99,0.9890000000000001,132.98734,1.50468,0.0
2,2967.0,30.0,1.0,1.0,130.54643000000002,1.64325,0.0
3,2669.0,28.0,,0.858,140.35284,-0.97414,0.0
4,1933.0,26.0,,0.883,135.88863999999998,-0.9748700000000001,0.0
5,1906.0,26.0,0.929,,129.23265,-1.57512,0.0
6,2007.0,24.0,0.9359999999999999,,137.85838,-0.7528,0.0
7,2756.0,22.0,,0.924,134.57492,-1.55142,0.0
8,2366.0,22.0,0.8370000000000001,,140.47475,-0.10550999999999999,0.0
9,1704.0,20.0,0.985,,138.66089,-1.11639,0.0
10,2275.0,18.0,,0.946,131.20438000000001,1.00064,0.0
11,887.0,18.0,,0.9520000000000001,139.07321000000002,-0.40157,0.0
12,654.0,18.0,0.9890000000000001,0.958,137.68558000000002,1.0564799999999999,0.0
13,1677.0,18.0,0.833,0.9590000000000001,130.0474,2.1025099999999997,0.0
14,635.0,18.0,0.9640000000000001,,129.29506,-0.99631,0.0
15,3056.0,16.0,0.9059999999999999,0.807,139.22725,-1.54519,0.0
16,2914.0,16.0,0.8290000000000001,0.845,131.13,2.0881,0.0
17,983.0,16.0,0.993,0.96,139.91696000000002,-1.27522,0.0
18,3073.0,16.0,0.972,0.9940000000000001,129.85931000000002,1.3582,0.0
19,160.0,16.0,,0.996,129.34523000000002,-1.6112,0.0
20,76.0,16.0,0.924,,137.16162,1.57071,0.0
21,1406.0,16.0,0.867,,136.72111999999998,-1.9572599999999998,0.0
22,1147.0,16.0,0.897,,140.59785,-0.8602700000000001,0.0
23,138.0,12.0,,0.826,138.70035,-0.95305,0.0
24,2570.0,12.0,0.88,0.8740000000000001,131.52863,-1.54719,0.0
25,1774.0,12.0,0.8690000000000001,0.8759999999999999,133.2893,-0.5119100000000001,0.0
26,1866.0,12.0,0.902,0.878,136.84153999999998,-1.36635,0.0
27,632.0,12.0,0.897,0.8909999999999999,132.27286999999998,-1.55421,0.0
28,3200.0,12.0,0.971,0.899,135.45943,-1.35515,0.0
29,72.0,12.0,0.855,,139.80649,-0.62249,0.0
30,245.0,12.0,0.8320000000000001,,134.75916,0.23814000000000002,0.0
31,320.0,12.0,0.838,,135.01478999999998,2.4079,0.0
32,1114.0,12.0,0.8440000000000001,,135.92398,0.147,0.0
33,247.0,8.0,,0.8059999999999999,136.94633000000002,1.38012,0.0
