,Unnamed: 0,GAMA_ID,ID,RA,DEC,SCORE,STELLAR_MASS,Z
0,0,3899011.0,2251.0,131.33397,-0.91563,64.0,329399992320.0,0.4027000069618225
1,1,376338.0,2660.0,132.98734,1.50468,30.0,303399993344.0,0.3271999955177307
2,2,323152.0,2967.0,130.54643000000002,1.64325,30.0,827700019200.0,0.7215999960899353
3,3,663364.0,2669.0,140.35284,-0.97414,28.0,268800000000.0,0.3221000134944916
4,4,3629152.0,1933.0,135.88863999999998,-0.97487,26.0,212900003840.0,0.4059000015258789
5,5,3575500.0,1906.0,129.23265,-1.57512,26.0,320900005888.0,0.365200012922287
6,6,197972.0,2007.0,137.85838,-0.7528,24.0,355100000256.0,0.33730000257492065
7,7,3883690.0,2756.0,134.57492,-1.55142,22.0,136200003584.0,0.24809999763965607
8,8,,,,,,,
9,9,3911769.0,1704.0,138.66089,-1.11639,20.0,173999996928.0,0.2793999910354614
10,10,371400.0,2275.0,131.20438,1.00064,18.0,202099998720.0,0.2948000133037567
11,11,204703.0,887.0,139.07321000000002,-0.40157,18.0,274200002560.0,0.3179999887943268
12,12,279505.0,654.0,137.68558000000002,1.05648,18.0,129800003584.0,0.22630000114440918
13,13,386188.0,1677.0,130.0474,2.10251,18.0,241499996160.0,0.3598000109195709
14,14,3599660.0,635.0,129.29506,-0.99631,18.0,194599993344.0,0.3813999891281128
15,15,3891172.0,3056.0,139.22725,-1.54519,16.0,85910003712.0,0.3395000100135803
16,16,345824.0,2914.0,131.13,2.0881,16.0,146400002048.0,0.27559998631477356
17,17,3913677.0,983.0,139.91696000000002,-1.27522,16.0,127800000512.0,0.2906000018119812
18,18,,,,,,,
19,19,3575548.0,160.0,129.34523000000002,-1.6112,16.0,111000002560.0,0.31209999322891235
20,20,,,,,,,
21,21,3866174.0,1406.0,136.72111999999998,-1.95726,16.0,314199998464.0,0.33899998664855957
22,22,,,,,,,
23,23,,,,,,,
24,24,,,,,,,
25,25,,,,,,,
26,26,,,,,,,
27,27,3581425.0,632.0,132.27286999999998,-1.55421,12.0,127100002304.0,0.3328999876976013
28,28,3611074.0,3200.0,135.45943,-1.35515,12.0,178099994624.0,0.3296999931335449
29,29,,,,,,,
30,30,600305.0,245.0,134.75916,0.23814,12.0,163400007680.0,0.2433999925851822
31,31,,,,,,,
32,32,,,,,,,
33,33,,,,,,,
34,34,419170.0,3097.0,139.04584,2.67026,8.0,336300015616.0,0.4203999936580658
35,35,,,,,,,
36,36,,,,,,,
37,37,,,,,,,
38,38,574628.0,1908.0,136.47115,-0.0465,8.0,336899997696.0,0.3043000102043152
39,39,347923.0,3477.0,139.59097,2.2376,8.0,72879996928.0,0.2847999930381775
40,40,,,,,,,
41,41,,,,,,,
42,42,209026.0,2577.0,131.487,0.09612,8.0,130900000768.0,0.2556999921798706
43,43,371400.0,936.0,131.20436,1.00066,8.0,202099998720.0,0.2948000133037567
44,44,,,,,,,
45,45,3896212.0,1483.0,129.80597,-0.8302200000000001,8.0,362099998720.0,0.3806999921798706
46,46,,,,,,,
47,47,517603.0,3099.0,132.94489,2.51329,8.0,136400003072.0,0.21119999885559082
48,48,387064.0,1962.0,135.07565,2.33718,8.0,158200004608.0,0.35120001435279846
49,49,,,,,,,
50,50,211045.0,2222.0,140.92513,0.00929,8.0,121300000768.0,0.3167000114917755
51,51,419067.0,1179.0,138.61973999999998,2.63477,8.0,144600006656.0,0.18780000507831573
52,52,209589.0,186.0,133.93068,0.11314,8.0,98039996416.0,0.2231999933719635
53,53,419305.0,853.0,139.63683999999998,2.88689,8.0,154999996416.0,0.31619998812675476
54,54,549039.0,702.0,130.01102,-0.45857,8.0,300300009472.0,0.26930001378059387
55,55,380872.0,3397.0,130.36703,1.81084,8.0,118000001024.0,0.3815000057220459
56,56,,,,,,,
57,57,3886216.0,1340.0,136.0962,-1.58451,8.0,209699995648.0,0.4041999876499176
58,58,,,,,,,
59,59,214697.0,1387.0,130.99026,0.61736,8.0,388700012544.0,0.2800000011920929
60,60,,,,,,,
61,61,,,,,,,
62,62,,,,,,,
63,63,,,,,,,
64,64,347735.0,3455.0,138.8727,2.31796,4.0,434900008960.0,0.4535999894142151
65,65,,,,,,,
66,66,205060.0,176.0,140.5011,-0.38913,4.0,280400003072.0,0.32030001282691956
67,67,,,,,,,
68,68,,,,,,,
69,69,208601.0,1717.0,129.66942,0.05318,4.0,198999998464.0,0.26809999346733093
70,70,3908476.0,3328.0,136.56941,-1.21495,4.0,120500002816.0,0.32499998807907104
71,71,301292.0,1269.0,133.16687,1.23096,4.0,146600001536.0,0.26179999113082886
72,72,,,,,,,
73,73,,,,,,,
74,74,,,,,,,
75,75,,,,,,,
76,76,514128.0,189.0,138.65686000000002,2.594,4.0,255299993600.0,0.37229999899864197
77,77,345881.0,3478.0,131.45035,2.07844,4.0,92959997952.0,0.2062000036239624
78,78,,,,,,,
79,79,323200.0,3430.0,130.73718,1.55961,4.0,121600000000.0,0.415800005197525
80,80,3626517.0,445.0,133.9433,-0.8440799999999999,4.0,215699996672.0,0.2840000092983246
81,81,3898249.0,1810.0,130.94731000000002,-0.8981299999999999,4.0,73119997952.0,0.20419999957084656
82,82,,,,,,,
83,83,,,,,,,
84,84,,,,,,,
85,85,323638.0,1213.0,132.58467,1.5456299999999998,4.0,153900007424.0,0.3262999951839447
86,86,575209.0,178.0,138.84712,-0.004370000000000001,4.0,163100000256.0,0.26109999418258667
87,87,,,,,,,
88,88,,,,,,,
89,89,209548.0,2605.0,133.88799,0.07105,4.0,102899998720.0,0.1987999975681305
90,90,3587969.0,755.0,135.9112,-1.83449,4.0,92610002944.0,0.29030001163482666
91,91,3911772.0,1578.0,138.6586,-1.30571,4.0,240099999744.0,0.2824999988079071
92,92,204098.0,1435.0,136.57536000000002,-0.41515,4.0,105699999744.0,0.1720000058412552
93,93,,,,,,,
94,94,3579761.0,1736.0,131.40182,-1.50206,4.0,117200003072.0,0.27880001068115234
95,95,371604.0,1507.0,132.12458999999998,0.8834799999999999,4.0,103999995904.0,0.20559999346733093
96,96,324417.0,2127.0,135.78537,1.75453,4.0,186900004864.0,0.3215000033378601
97,97,,,,,,,
98,98,,,,,,,
99,99,381602.0,3407.0,133.20793,1.80802,4.0,145099997184.0,0.3695000112056732
100,100,302278.0,481.0,137.08908,1.26083,4.0,237399998464.0,0.2955999970436096
101,101,3897932.0,825.0,130.79007,-0.8879100000000001,4.0,126700003328.0,0.28700000047683716
102,102,302198.0,2287.0,136.76682,1.37017,4.0,69649997824.0,0.271699994802475
103,103,549447.0,791.0,131.45369,-0.5431199999999999,4.0,166299992064.0,0.31029999256134033
104,104,518046.0,1601.0,134.80893,2.70237,4.0,225999994880.0,0.23080000281333923
105,105,,,,,,,
106,106,372022.0,1262.0,133.80411,1.07405,4.0,218999996416.0,0.3091000020503998
107,107,418840.0,3176.0,137.91167,2.60706,4.0,166900006912.0,0.31520000100135803
