,GAMA_ID,incomplete_data,maybe_lens,no_clear_lens
0,106562,0,0,1
1,106821,0,0,1
2,136581,0,0,1
3,136800,0,0,1
4,14983,0,0,1
5,15221,0,0,1
6,15554,0,0,1
7,15705,0,0,1
8,184275,0,0,1
9,185451,0,0,1
10,185604,0,0,1
11,186586,0,0,1
12,196837,0,0,1
13,204140,0,0,1
14,209295,0,0,1
15,209584,0,0,1
16,216186,0,0,1
17,220682,0,0,1
18,22278,0,0,1
19,22559,0,0,1
20,229499,0,0,1
21,231043,0,0,1
22,231282,0,0,1
23,231307,0,0,1
24,231746,0,0,1
25,238271,0,0,1
26,239367,0,0,1
27,251342,0,0,1
28,273903,0,0,1
29,278118,0,0,1
30,279505,0,0,1
31,298899,0,0,1
32,298994,0,0,1
33,319416,0,0,1
34,320384,0,0,1
35,323152,0,0,1
36,323247,0,0,1
37,325026,0,0,1
38,325108,0,0,1
39,32675,0,0,1
40,371208,0,0,1
41,377486,0,0,1
42,386188,0,0,1
43,388201,0,0,1
44,402278,0,0,1
45,41064,0,0,1
46,422228,0,0,1
47,460463,0,0,1
48,460645,0,0,1
49,460713,0,0,1
50,485756,0,0,1
51,485873,0,0,1
52,48883,0,0,1
53,508116,0,0,1
54,511867,0,0,1
55,521819,0,0,1
56,544226,0,0,1
57,560475,0,0,1
58,567899,0,0,1
59,568366,0,0,1
60,570151,0,0,1
61,573657,0,0,1
62,573840,0,0,1
63,574390,0,0,1
64,574423,0,0,1
65,583469,0,0,1
66,586392,0,0,1
67,593691,0,0,1
68,593852,0,0,1
69,594552,0,0,1
70,600421,0,0,1
71,617535,0,0,1
72,618700,0,0,1
73,619609,0,0,1
74,64911,0,0,1
75,65298,0,0,1
76,690020,0,0,1
77,70022,0,0,1
78,70282,0,0,1
79,70376,0,0,1
80,7104,0,0,1
81,71072,0,0,1
82,7242,0,0,1
83,77892,0,0,1
84,814991,0,0,1
85,93803,0,0,1
86,98624,0,0,1
87,99508,0,0,1
88,107432,0,1,0
89,136604,0,1,0
90,138582,0,1,0
91,143250,0,1,0
92,144068,0,1,0
93,145278,0,1,0
94,15790,0,1,0
95,16199,0,1,0
96,197611,0,1,0
97,197972,0,1,0
98,198082,0,1,0
99,202397,0,1,0
100,202448,0,1,0
101,204703,0,1,0
102,209222,0,1,0
103,220854,0,1,0
104,231281,0,1,0
105,238715,0,1,0
106,250289,0,1,0
107,271500,0,1,0
108,272460,0,1,0
109,287627,0,1,0
110,289278,0,1,0
111,289994,0,1,0
112,296619,0,1,0
113,299118,0,1,0
114,302719,0,1,0
115,319348,0,1,0
116,320551,0,1,0
117,320557,0,1,0
118,323200,0,1,0
119,324764,0,1,0
120,345423,0,1,0
121,345824,0,1,0
122,371400,0,1,0
123,371601,0,1,0
124,372045,0,1,0
125,376338,0,1,0
126,377212,0,1,0
127,380839,0,1,0
128,382857,0,1,0
129,39718,0,1,0
130,40666,0,1,0
131,40957,0,1,0
132,417645,0,1,0
133,418788,0,1,0
134,422113,0,1,0
135,485811,0,1,0
136,491505,0,1,0
137,49576,0,1,0
138,543556,0,1,0
139,543671,0,1,0
140,55245,0,1,0
141,560204,0,1,0
142,560853,0,1,0
143,561459,0,1,0
144,561967,0,1,0
145,569022,0,1,0
146,569270,0,1,0
147,583457,0,1,0
148,584826,0,1,0
149,585328,0,1,0
150,586565,0,1,0
151,586648,0,1,0
152,594681,0,1,0
153,600679,0,1,0
154,610029,0,1,0
155,617856,0,1,0
156,77991,0,1,0
157,84050,0,1,0
158,84533,0,1,0
159,911856,0,1,0
160,92606,0,1,0
161,92918,0,1,0
162,93310,0,1,0
163,98399,0,1,0
164,98583,0,1,0
165,218733,1,0,0
166,279956,1,0,0
167,301818,1,0,0
168,383284,1,0,0
169,419678,1,0,0
170,422882,1,0,0
171,568617,1,0,0
172,575653,1,0,0
173,663364,1,0,0
