,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,RA,DEC,z1,z2,spec_type,GAMA_ID,STELLAR_MASS,max_total_mass,theta_e,Z,max_stellar_mass_salpeter,max_stellar_mass_chabrier,Dz,theta_e2,z_lens,theta_e_reckoning,theta_e_Ang,theta_e_H0,f_dm,theta_e_H0_slide,theta_e_Ang_slide,D1,D2,fiber_radius_mass,fiber_radius_stellar_mass,f_dm_half_re,theta_e_Ang_slide_half_re,mass_half_effective_radius,lensing_mass_half_effective_radius,theta_e_half_radius,sigma,D_source,D_lens,theta_e_veldisp
0,0,0,0,0,0,138.2815,-0.66673,0.163,0.321,PG+ELG,198082,30250000384.0,165579113924.05066,0.5146810773892407,0.1632000058889389,114249588607.59496,64575854430.37976,0.158,0.5562506347678932,0.163,0.6845898301857409,0.6788352396087561,0.6845898301857409,0.472494299985197,0.5886391838917511,0.5836911444212429,550.4045601281682,920.8708986917827,168318564620.8508,88789002255.80876,0.4081637971667848,0.31172447928481284,13877122300.395958,13877122300.395958,0.2871333900063406,137.3006324247959,920,550,0.21865175690775365
1,1,1,1,1,1,129.69546,-0.38179,0.418,0.738,PG+ELG,202448,,482006250000.0,,,332584312500.0,187982437500.0,0.32,,0.418,,,,,,,1091.8218728933484,1453.8948305094339,539372367268.1545,,,,,,,,1453,1091,
2,2,2,2,2,2,136.63883,-0.35203,0.282,0.449,PG+ELG,204140,85779996672.0,379095808383.2334,0.5727918204001,0.2818000018596649,261576107784.43106,147847365269.46106,0.16700000000000004,0.3466639856624429,0.282,0.7618843440846563,0.7457100346041133,0.7618843440846563,0.5313401832569895,0.6950123049686595,0.6802576454187851,841.1448365535323,1139.1931833585825,395531834578.4025,185369877109.54086,0.4670096804385772,0.3608424469900119,51065221080.95727,51065221080.95727,0.3593121363169379,182.0629070862959,1139,841,0.2501090953518983
3,3,3,3,3,3,132.36771000000002,0.1636,0.128,0.603,PG+ELG,209222,14250000384.0,81246315789.4737,0.5042940986881272,0.12770000100135806,56059957894.73685,31686063157.894737,0.475,0.8971344183260483,0.128,0.6707738569597417,0.6621648433632806,0.6707738569597417,0.42999593388619095,0.5548421609728679,0.547721066943719,449.006077562336,1331.8835960576082,83333194684.12135,47500259812.20283,0.3656654310677787,0.2937069488938809,5415783318.441297,5415783318.441297,0.25493039824670644,107.20311258488383,1331,449,0.2196338725457852
4,4,4,4,4,4,132.61013,0.11972000000000001,0.313,0.608,PG+ELG,209295,84560003072.0,322549152542.3729,0.6165422296991775,0.3125999867916107,222558915254.2373,125794169491.52545,0.295,0.41781295432594456,0.313,0.8200778285324257,0.7931991708284661,0.8200778285324257,0.5305314487100042,0.7474533996096271,0.7229550613071257,905.0721963945116,1337.0993170970692,344616351323.55817,161786539206.71506,0.46620094589159206,0.383531151424342,50159006144.52903,50159006144.52903,0.3815105230242493,181.33154513523343,1337,905,0.3064030353456579
5,5,5,5,5,5,140.14186999999998,0.97341,0.586,0.336,PG+ELG,279956,,-393792000000.0001,,,-271716480000.0001,-153578880000.00006,0.24999999999999994,,0.336,,,,,,,1313.7063784773807,949.7521278852716,421756503329.2801,,,,,,,,1313,949,
6,6,6,6,6,6,135.32929,1.22984,0.48700000000000004,0.247,PG+ELG,301818,121500000256.0,-250602083333.3333,,0.4862000048160553,-172915437499.99994,-97734812500.0,0.24000000000000005,0.6779864577652237,0.247,1.1152348416111448,1.0927597653312835,1.1152348416111448,0.5509949162504204,1.0393767633847937,1.01843043784959,1193.0140548353122,763.4905424310182,260892911499.1013,117142243577.32567,0.4866644134320082,0.5388046097415882,78906546077.20715,78906546077.20715,0.5499527488686285,200.7732893890458,1193,763,0.4190191580880955
7,7,7,7,7,7,138.94058,1.33144,0.593,0.40399999999999997,PG+ELG,302719,147399999488.0,-633788359788.3597,,0.5932999849319458,-437313968253.9682,-247177460317.4603,0.189,0.2452619195765202,0.40399999999999997,0.7724086697545895,0.7401175330801965,0.7724086697545895,0.5619046726618842,0.7287777967419287,0.6983106821672909,1321.275031353356,1069.34516871976,689972036499.8745,302273525184.55896,0.4975741698434719,0.3688688704909727,100464941958.81364,100464941958.81364,0.3815852016993972,211.97653676290858,1321,1069,0.24721072447483303
8,8,8,8,8,8,130.50925,1.02071,0.077,0.6990000000000001,PG+ELG,371208,4812000256.0,43266077170.418,0.4015756276786849,0.07670000195503235,29853593247.588417,16873770096.463018,0.6220000000000001,1.1104532731927734,0.077,0.5341455181406876,0.5293619322513272,0.5341455181406876,0.3687023334304143,0.4198312868976384,0.4160714518869352,285.94770356896197,1422.4198532032485,44030703149.02226,27796480155.395863,0.3043718306120021,0.22421848786721252,1394118650.984041,1394118650.984041,0.1779393739298445,69.21452353911047,1422,285,0.1104712669682618
9,9,9,9,9,9,137.90642,1.62916,0.16899999999999998,0.33399999999999996,PG+ELG,377486,,171048484848.48486,,,118023454545.45454,66708909090.9091,0.16499999999999998,,0.16899999999999998,,,,,,,566.9939383900564,945.9562832631384,174121910321.19687,,,,,,,,945,566,
