,GAMA_ID,RA,DEC,LENS_SCORE
0,543438,211.53734,-1.03689,0.21303448008193995
1,491933,213.94101,-1.42622,0.23618742325629974
2,463601,213.79297,-1.24519,0.22162587407651252
3,492121,214.80569,-1.4032,0.23768787749616968
4,511867,216.38846,-1.11396,0.3522291202812785
5,511865,216.31907,-1.13127,0.3159736549968519
6,485529,216.24766,-1.86855,0.24617784308816199
7,485866,217.55467,-1.72059,0.20270690271027067
8,485873,217.75015,-1.80042,0.34945602815717053
9,508674,217.8561,-1.47254,0.21437128039409828
10,509080,219.66128,-1.56507,0.2656125477568647
11,505441,219.86678,-1.91433,0.30061991539680055
12,493172,219.82751,-1.3069,0.252347549315637
13,486863,221.91649,-1.74942,0.2477474443817528
14,164479,177.6572,-2.81587,0.35679896157585733
15,165259,180.44234,-2.82167,0.33577011436000975
16,165871,183.70237,-2.78805,0.28270118900935587
17,70022,178.02218,0.07392,0.3681086687142511
18,609835,177.4441,0.24979,0.2
19,609783,177.2406,0.37904,0.2240796148284461
20,177538,177.06532,-2.03739,0.2495592626402623
21,171055,176.8102,-2.2989,0.3076546618324779
22,164155,176.59381,-2.76333,0.2483270951687767
23,170898,176.46563,-2.33643,0.336095993444582
24,123523,176.38876,-2.53055,0.2350512342927711
25,123473,176.28669,-2.6764,0.2096584609696754
26,170838,176.2738,-2.47029,0.2
27,136870,176.26903,-1.66142,0.21588623231342458
28,271793,176.23579,1.26029,0.2154339610512572
29,136853,176.21456,-1.80852,0.2631744499114724
30,184275,175.91698,-1.44119,0.31726155455251825
31,84050,175.79849,0.47814,0.3657584981836216
32,7104,175.71213,0.83228,0.3333333333333333
33,136581,175.67082,-1.66467,0.38876031729993676
34,184232,175.64718,-1.4871,0.2
35,136551,175.48195,-1.81532,0.21496219496252555
36,53845,175.35518,-0.31265,0.20014087239153772
37,271629,175.2932,1.37485,0.25432741974616907
38,396838,175.26995,1.58933,0.25
39,97879,174.99204,0.85037,0.22727520752947364
40,271592,174.93535,1.33453,0.22951001604202395
41,170465,174.68882,-2.28517,0.202905612555741
42,271537,174.59803,1.35433,0.30673445910173675
43,609246,174.55754,0.3526,0.2441264398933349
44,136308,174.4957,-1.69487,0.2
45,129782,174.4002,-2.08169,0.2887238310639856
46,21834,174.32707,1.05827,0.2097174537951909
47,6826,174.18486,0.7089,0.2564351243268097
48,85480,182.70923,0.47085,0.20342110434584532
49,273061,181.91166,1.3306,0.20332740089557355
50,272965,181.52112,1.2877,0.2
51,272820,180.96503,1.29504,0.23578737879433798
52,8132,180.7274,0.83164,0.27760985876058647
53,23180,180.58548,1.19842,0.26527538680462015
54,85027,180.58892,0.61914,0.2390159257737852
55,288844,180.28944,1.83295,0.2479174628564341
56,230528,180.28327,1.98659,0.2184876623863157
57,272433,179.42583,1.25987,0.208290749330893
58,272188,178.21889,1.25243,0.2598818013112408
59,40666,182.46693,-0.78528,0.36015843752091425
60,70913,182.11881,0.16352,0.23010566827729645
61,70847,181.78315,0.15647,0.20429078518958363
62,585217,181.68205,-0.03098,0.28318012264499415
