,Unnamed: 0,GAMA_ID,RA,DEC,LENS_SCORE,STELLAR_MASS,Z,TOTAL_MASS,theta_e
319,319,511867,216.38846,-1.11396,0.3522291202812785,54590001152.0,0.054999999701976776,139974361928.2051,1.5956797596015329
322,322,511865,216.31907,-1.13127,0.3159736549968519,20660000768.0,0.08449999988079071,52974360943.589745,0.7919674649900773
487,487,485873,217.75015,-1.8004200000000001,0.3494560281571705,49080000512.0,0.05389999970793724,125846155158.97435,1.5283697238771166
605,605,505441,219.86677999999998,-1.9143299999999999,0.3006199153968005,173300006912.0,0.13349999487400055,444358992082.0513,1.8248584950250606
896,896,164479,177.6572,-2.81587,0.3567989615758573,11840000000.0,0.09929999709129332,30358974358.974358,0.5530593786774248
1106,1106,165259,180.44234,-2.82167,0.3357701143600097,10099999744.0,0.10180000215768814,25897435241.02564,0.5044955222076463
1264,1264,70022,178.02218,0.07392,0.3681086687142511,80459997184.0,0.05990000069141387,206307685087.17947,1.8562955387050197
1867,1867,171055,176.8102,-2.2989,0.3076546618324779,3707000064.0,0.13140000402927401,9505128369.230768,0.2690197319311953
2065,2065,170898,176.46563,-2.33643,0.336095993444582,231900004352.0,0.12150000035762787,594615395774.359,2.212752127028073
2401,2401,184275,175.91698,-1.44119,0.31726155455251825,44110000128.0,0.12370000034570695,113102564430.76923,0.9564322401036072
2485,2485,84050,175.79849,0.47813999999999995,0.3657584981836216,54710001664.0,0.11900000274181365,140282055548.71796,1.0860014532122215
2524,2524,7104,175.71213,0.8322799999999999,0.3333333333333333,17679998976.0,0.07509999722242355,45333330707.69231,0.7771264404956976
2539,2539,136581,175.67082,-1.66467,0.3887603172999368,4702000128.0,0.08529999852180481,12056410584.615385,0.3760428492027508
3071,3071,271537,174.59803,1.35433,0.30673445910173675,58219999232.0,0.11169999837875366,149282049312.8205,1.1563253383999725
4403,4403,40666,182.46693,-0.78528,0.36015843752091425,10389999616.0,0.10670000314712524,26641024656.410255,0.4997997996954268
