,Unnamed: 0,GAMA_ID,RA,DEC,LENS_SCORE,STELLAR_MASS,Z
322,322,511865,216.31907,-1.13127,0.3159736549968519,20660000768.0,0.08449999988079071
605,605,505441,219.86677999999998,-1.9143299999999999,0.3006199153968005,173300006912.0,0.13349999487400055
896,896,164479,177.6572,-2.81587,0.3567989615758573,11840000000.0,0.09929999709129332
1106,1106,165259,180.44234,-2.82167,0.3357701143600097,10099999744.0,0.10180000215768814
1867,1867,171055,176.8102,-2.2989,0.3076546618324779,3707000064.0,0.13140000402927401
2065,2065,170898,176.46563,-2.33643,0.336095993444582,231900004352.0,0.12150000035762787
2485,2485,84050,175.79849,0.47813999999999995,0.3657584981836216,54710001664.0,0.11900000274181365
3071,3071,271537,174.59803,1.35433,0.30673445910173675,58219999232.0,0.11169999837875366
4403,4403,40666,182.46693,-0.78528,0.36015843752091425,10389999616.0,0.10670000314712524
4670,4670,55245,181.07958,-0.31553000000000003,0.3140544819767729,127400001536.0,0.09359999746084212
4996,4996,560204,179.65787,-0.48421000000000003,0.3801848922936733,8501000192.0,0.0843999981880188
5278,5278,144068,178.83194,-1.4089399999999999,0.33041071403012295,23759998976.0,0.1446000039577484
5698,5698,185451,180.28326,-1.61006,0.30298456848615074,82219999232.0,0.1079000011086464
5772,5772,124486,179.72998,-2.51919,0.4261904774492165,85409996800.0,0.14350000023841858
6503,6503,32675,185.70776999999998,-1.1103,0.5271650742338682,12160000000.0,0.1459999978542328
7579,7579,491505,212.1493,-1.5112700000000001,0.4296963224628938,1643000064.0,0.07609999924898148
7622,7622,543556,211.99696,-0.9925200000000001,0.5697293031713155,4737999872.0,0.08709999918937683
8555,8555,568545,215.4957,-0.59009,0.35501297622726263,29980000256.0,0.050999999046325684
9151,9151,460645,213.23176,-1.7209999999999999,0.3070760437523829,35490000896.0,0.11919999867677687
10842,10842,93310,219.92276,0.50731,0.575139057325562,30940000256.0,0.13770000636577606
10908,10908,49252,220.38711,-0.71215,0.3162465575023383,77520003072.0,0.14749999344348907
11076,11076,136604,175.87349,-1.74167,0.31645069407057624,286600003584.0,0.10599999874830246
11791,11791,371601,132.01727,1.03236,0.31987644638725343,6238000128.0,0.06069999933242797
12243,12243,600679,136.8274,0.25166,0.4192855509147133,3732999936.0,0.10100000351667404
12397,12397,324764,137.20387,1.72633,0.4227567639279565,46470000640.0,0.10440000146627426
12588,12588,218733,140.29763,0.88594,0.419585537810421,97730002944.0,0.14149999618530273
13660,13660,320551,218.67851000000002,1.7833599999999998,0.5296417151914627,13029999616.0,0.0778999999165535
13836,13836,342699,216.90174,2.1325,0.4570880393017274,28450000896.0,0.08760000020265579
13946,13946,363319,218.85395,2.56676,0.4575320404435686,33429999616.0,0.09849999845027924
14556,14556,522103,132.47988,2.89815,0.33803604254326697,58909999104.0,0.06030000001192092
14626,14626,418788,137.69141000000002,2.74717,0.3430625755391247,55779999744.0,0.1436000019311905
15275,15275,202397,129.44791999999998,-0.24408000000000002,0.3472897784548457,589400000.0,0.05220000073313713
15421,15421,422113,129.41517,2.59516,0.4995803715872445,20199999488.0,0.1202000007033348
15448,15448,422228,129.93613,2.59097,0.3021404022221289,28369999872.0,0.11150000244379044
15695,15695,573840,130.33075,-0.20663,0.3152147323080724,15160000512.0,0.13539999723434448
16625,16625,372045,133.97321000000002,0.9832,0.37830414114878375,24569999360.0,0.11940000206232072
17522,17522,197611,136.03367,-0.72014,0.3193540104753855,10119999488.0,0.11630000174045566
17886,17886,3632594,138.25246,-0.95549,0.3266706654847568,85730000896.0,0.13619999587535858
19218,19218,3578853,130.98196000000002,-1.62032,0.3194613381522037,65370001408.0,0.12210000306367876
19268,19268,3909064,136.9855,-1.14841,0.4205118760374178,4517000192.0,0.07800000160932541
19528,19528,3593943,139.74883,-1.87208,0.5456665120741541,21390000128.0,0.1378999948501587
19718,19718,656625,140.24008,-1.85962,0.3112479599176929,15640000512.0,0.09910000115633012
19828,19828,3599976,129.38913,-1.10436,0.30950300976594003,3308000000.0,0.11029999703168868
19877,19877,3610455,135.09329,-1.21204,0.3308220538355067,12179999744.0,0.12720000743865967
20685,20685,287627,174.1965,1.6935200000000001,0.3227870943232424,23520000000.0,0.13439999520778656
21533,21533,39718,177.9385,-0.71802,0.3830932151488429,8947999744.0,0.08089999854564668
22038,22038,272491,179.56837,1.40109,0.3151683590847517,10480000000.0,0.1316000074148178
22095,22095,70376,179.62517,0.05585,0.3136042546750227,15630000128.0,0.13079999387264252
22567,22567,536124,180.63978999999998,-1.03748,0.30210865072383164,1924999936.0,0.09179999679327012
23097,23097,40957,183.73733000000001,-0.69189,0.3342535685400784,2211000064.0,0.1243000030517578
23801,23801,272460,179.4985,1.4293200000000001,0.3286690785813425,4664000000.0,0.13349999487400055
24326,24326,164403,177.41987,-2.72815,0.4065896081915637,19769999360.0,0.08980000019073486
25257,25257,171566,178.86637,-2.30917,0.3331830313067841,2151000064.0,0.1273999959230423
25334,25334,132158,184.26928999999998,-2.1558200000000003,0.32729285870277885,10400000000.0,0.13019999861717224
25359,25359,586565,185.45096,-0.0066099999999999996,0.3543304315363873,7343000064.0,0.10830000042915344
26697,26697,511516,214.61599999999999,-1.17848,0.3212270688878978,9893000192.0,0.08730000257492065
27118,27118,568546,215.49492,-0.5888800000000001,0.6125824645303074,670499968.0,0.051199998706579215
