,Unnamed: 0,GAMA_ID,RA,DEC,LENS_SCORE,STELLAR_MASS,Z,TOTAL_MASS,theta_e
319,319,511867,216.38846,-1.11396,0.3522291202812785,54590001152.0,0.054999999701976776,139974361928.2051,1.5956797596015329
487,487,485873,217.75015,-1.8004200000000001,0.3494560281571705,49080000512.0,0.05389999970793724,125846155158.97435,1.5283697238771166
605,605,505441,219.86677999999998,-1.9143299999999999,0.3006199153968005,173300006912.0,0.13349999487400055,444358992082.0513,1.8248584950250606
1264,1264,70022,178.02218,0.07392,0.3681086687142511,80459997184.0,0.05990000069141387,206307685087.17947,1.8562955387050197
2065,2065,170898,176.46563,-2.33643,0.336095993444582,231900004352.0,0.12150000035762787,594615395774.359,2.212752127028073
4670,4670,55245,181.07958,-0.31553000000000003,0.3140544819767729,127400001536.0,0.09359999746084212,326666670605.1282,1.8686042240068208
5698,5698,185451,180.28326,-1.61006,0.30298456848615074,82219999232.0,0.1079000011086464,210820510851.28204,1.3981331650837734
7874,7874,106562,216.62566,0.84498,0.3638761719314727,89850003456.0,0.12680000066757202,230384624246.15384,1.3482485107939917
8137,8137,593852,218.0782,-0.039580000000000004,0.386318244376966,225100005376.0,0.13079999387264252,577179500964.1025,2.10113723428067
9359,9359,93803,222.48917000000003,0.55835,0.4777194655103866,88940003328.0,0.0397999994456768,228051290584.6154,2.394294488269225
11076,11076,136604,175.87349,-1.74167,0.31645069407057624,286600003584.0,0.10599999874830246,734871804061.5385,2.6336356585837666
12159,12159,574423,135.75994,-0.20038,0.4643369877716501,50789998592.0,0.053599998354911804,130230765620.51282,1.5591117348085046
12588,12588,218733,140.29763,0.88594,0.419585537810421,97730002944.0,0.14149999618530273,250589751138.46152,1.331086472869615
14556,14556,522103,132.47988,2.89815,0.33803604254326697,58909999104.0,0.06030000001192092,151051279753.84616,1.5830928231484274
