,GAMA_ID,RA,DEC,LENS_SCORE,STELLAR_MASS,Z,TOTAL_MASS,theta_e
319,511867,216.38846,-1.11396,0.3522291202812785,54590001152.0,0.054999999701976776,139974361928.2051,1.5956797596015329
322,511865,216.31907,-1.13127,0.3159736549968519,20660000768.0,0.08449999988079071,52974360943.589745,0.7919674649900773
487,485873,217.75015,-1.8004200000000001,0.3494560281571705,49080000512.0,0.05389999970793724,125846155158.97435,1.5283697238771166
605,505441,219.86677999999998,-1.9143299999999999,0.3006199153968005,173300006912.0,0.13349999487400055,444358992082.0513,1.8248584950250606
1264,70022,178.02218,0.07392,0.3681086687142511,80459997184.0,0.05990000069141387,206307685087.17947,1.8562955387050197
2065,170898,176.46563,-2.33643,0.336095993444582,231900004352.0,0.12150000035762787,594615395774.359,2.212752127028073
2401,184275,175.91698,-1.44119,0.31726155455251825,44110000128.0,0.12370000034570695,113102564430.76923,0.9564322401036072
2485,84050,175.79849,0.47813999999999995,0.3657584981836216,54710001664.0,0.11900000274181365,140282055548.71796,1.0860014532122215
2524,7104,175.71213,0.8322799999999999,0.3333333333333333,17679998976.0,0.07509999722242355,45333330707.69231,0.7771264404956976
3071,271537,174.59803,1.35433,0.30673445910173675,58219999232.0,0.11169999837875366,149282049312.8205,1.1563253383999725
4670,55245,181.07958,-0.31553000000000003,0.3140544819767729,127400001536.0,0.09359999746084212,326666670605.1282,1.8686042240068208
5098,70282,179.40308000000002,0.12562,0.6553523393711983,42560000000.0,0.10740000009536743,109128205128.20512,1.00825224309489
5698,185451,180.28326,-1.61006,0.30298456848615074,82219999232.0,0.1079000011086464,210820510851.28204,1.3981331650837734
5772,124486,179.72998,-2.51919,0.4261904774492165,85409996800.0,0.14350000023841858,218999991794.8718,1.2356598344239806
7874,106562,216.62566,0.84498,0.3638761719314727,89850003456.0,0.12680000066757202,230384624246.15384,1.3482485107939917
8137,593852,218.0782,-0.039580000000000004,0.386318244376966,225100005376.0,0.13079999387264252,577179500964.1025,2.10113723428067
8254,593691,217.50766000000002,-0.12318,0.34843844772447624,23129999360.0,0.10809999704360962,59307690666.666664,0.7408759505336228
8555,568545,215.4957,-0.59009,0.35501297622726263,29980000256.0,0.050999999046325684,76871795528.20512,1.2280081813853023
9151,460645,213.23176,-1.7209999999999999,0.3070760437523829,35490000896.0,0.11919999867677687,91000002297.4359,0.8739476279828734
9359,93803,222.48917000000003,0.55835,0.4777194655103866,88940003328.0,0.0397999994456768,228051290584.6154,2.394294488269225
10842,93310,219.92276,0.50731,0.575139057325562,30940000256.0,0.13770000636577606,79333333989.74359,0.7592131197637374
10908,49252,220.38711,-0.71215,0.3162465575023383,77520003072.0,0.14749999344348907,198769238646.15384,1.1611315298251648
11076,136604,175.87349,-1.74167,0.31645069407057624,286600003584.0,0.10599999874830246,734871804061.5385,2.6336356585837666
11901,600421,135.49058,0.28417,0.4201886208185716,26210000896.0,0.05649999901652336,67205130502.5641,1.090887149535772
12159,574423,135.75994,-0.20038,0.4643369877716501,50789998592.0,0.053599998354911804,130230765620.51282,1.5591117348085046
12397,324764,137.20387,1.72633,0.4227567639279565,46470000640.0,0.10440000146627426,119153847794.8718,1.0685789505192347
12588,218733,140.29763,0.88594,0.419585537810421,97730002944.0,0.14149999618530273,250589751138.46152,1.331086472869615
13660,320551,218.67851000000002,1.7833599999999998,0.5296417151914627,13029999616.0,0.0778999999165535,33410255425.641026,0.655049321229138
13836,342699,216.90174,2.1325,0.4570880393017274,28450000896.0,0.08760000020265579,72948720246.15384,0.9127663409506284
13946,363319,218.85395,2.56676,0.4575320404435686,33429999616.0,0.09849999845027924,85717947733.33333,0.9330836983877917
14556,522103,132.47988,2.89815,0.33803604254326697,58909999104.0,0.06030000001192092,151051279753.84616,1.5830928231484274
14626,418788,137.69141000000002,2.74717,0.3430625755391247,55779999744.0,0.1436000019311905,143025640369.23077,0.9982344626459658
15421,422113,129.41517,2.59516,0.4995803715872445,20199999488.0,0.1202000007033348,51794870482.05128,0.6565895587924134
15448,422228,129.93613,2.59097,0.3021404022221289,28369999872.0,0.11150000244379044,72743589415.38461,0.8079095774822103
16190,196837,132.90975,-0.69973,0.4873382424544388,47400001536.0,0.10459999740123747,121538465476.92307,1.0781864488350943
16625,372045,133.97321000000002,0.9832,0.37830414114878375,24569999360.0,0.11940000206232072,62999998358.97436,0.7265590781658917
17886,3632594,138.25246,-0.95549,0.3266706654847568,85730000896.0,0.13619999587535858,219820515117.9487,1.2707156978179475
19218,3578853,130.98196000000002,-1.62032,0.3194613381522037,65370001408.0,0.12210000306367876,167615388225.64102,1.1719307178581546
20685,287627,174.1965,1.6935200000000001,0.3227870943232424,23520000000.0,0.13439999520778656,60307692307.69231,0.6700227672349207
24326,164403,177.41987,-2.72815,0.4065896081915637,19769999360.0,0.08980000019073486,50692306051.28205,0.7515115972017641
26107,238271,213.72842000000003,1.5787799999999999,0.3316935451692872,70780002304.0,0.12870000302791595,181487185394.8718,1.1877814426046753
27307,492150,215.09129,-1.47211,0.3311687097769551,56179998720.0,0.1379999965429306,144051278769.23077,1.0219316571450001
