Candidate,objectid,RA,dec,grade,photoz,imag,notes,,
DESJ0002-3507,139741252,0.59845,-35.12122,2.3,0.51,19.2,,,
DESJ0003-3348,139823797,0.81825,-33.8012,2.7,0.68,19.3,,,
DESJ0006-4429,142775105,1.68592,-44.49735,2,0.53,18.6,a 1,,
DESJ0007-4434,142779522,1.87201,-44.57949,3,0.52,18.1,a 1,,
DESJ0010-4315,182452355,2.62678,-43.25413,2.3,0.84,19.9,d,,
DESJ0011-4614,182003535,2.97135,-46.23942,3,0.6,18.5,"a 1,2",d,
DESJ0013+0040,179698697,3.29016,0.66767,2.3,0.75,20,,,
DESJ0013-0335,180799530,3.29224,-3.59597,2.3,0.53,19.1,,,
DESJ0013-4239,184282860,3.38649,-42.65808,2,0.89,20,,,
DESJ0014+0041,179696961,3.60116,0.69596,2,0.59,19.4,,,
DESJ0015-0230,181705322,3.96725,-2.51252,2,0.77,20.1,,,
DESJ0015-4636,190717082,3.92831,-46.60305,2.3,0.44,18.4,,,
DESJ0017+0158,189671458,4.32556,1.97183,2,0.75,18.8,,,
DESJ0018-4549,191052533,4.50945,-45.82622,2.3,0.51,18.9,,,
DESJ0019-4136,189506468,4.81803,-41.61405,2,0.49,18.5,,,
DESJ0021-4040,195762492,5.39182,-40.66717,2,0.56,18.6,a 1,,
DESJ0024-3400,204184446,6.23732,-34.01479,2.7,0.69,19.5,,,
DESJ0025-3139,199018206,6.29223,-31.65755,2.7,0.45,19.4,,,
DESJ0026-5504,204588321,6.52789,-55.07581,2,0.4,17.2,,,
DESJ0027-0413,202591480,6.75025,-4.22321,3,0.57,18,,,
DESJ0028-5108,147213612,7.19578,-51.14695,2.3,0.6,19.1,,,
DESJ0031-6420,150263838,7.832,-64.3438,2.3,0.64,20.1,,,
DESJ0034-2405,208995017,8.5267,-24.09052,2.3,0.5,19.8,,,
DESJ0035-2526,210368868,8.78153,-25.44932,2.7,0.74,19.5,,,
DESJ0037-4131,154676430,9.3628,-41.53054,3,0.67,19.8,a 1,,
DESJ0038-2936,157799078,9.69256,-29.60189,2.7,0.73,20.4,d,,
DESJ0040-3732,157101125,10.16456,-37.54704,2.7,0.71,20,,,
DESJ0041-0043,157857664,10.28753,-0.73025,2.7,0.53,19,a3,d,
DESJ0042-3718,272459491,10.73881,-37.31623,2.7,0.77,20.2,,,
DESJ0046+0127,273530428,11.74831,1.46004,2,0.55,19.4,,,
DESJ0046-0156,274369747,11.50837,-1.94118,2,0.64,18.7,,,
DESJ0046-5741,273462967,11.55797,-57.69931,2.3,0.41,16.7,d,,
DESJ0047-2905,274128225,11.75654,-29.08823,2,0.35,17.5,,,
DESJ0048+0311,275754958,12.1134,3.18808,2.7,0.39,18,,,
DESJ0050-1720,276477563,12.73017,-17.34235,2.3,0.59,19.4,,,
DESJ0050-4651,278178553,12.55113,-46.8621,2.7,0.73,20.1,,,
DESJ0052-4650,278177446,13.05359,-46.8408,2.7,0.52,18.3,a1,,
DESJ0053-0502,280210635,13.41314,-5.03359,2,0.54,19,,,
DESJ0056-4117,284471622,14.21105,-41.29355,2.3,0.74,20,,,
DESJ0057-5905,287581455,14.39678,-59.08847,2.3,0.65,19.8,,,
DESJ0058-2317,284406080,14.52023,-23.28713,2,0.83,19.9,,,
DESJ0058-5201,283879328,14.64465,-52.03323,2.7,0.66,19.1,,,
DESJ0101-2126,289119426,15.49817,-21.44871,2.7,0.47,17.6,c,,
DESJ0101-3343,290880302,15.36604,-33.72201,3,0.63,18.7,,,
DESJ0101-4917,290048397,15.49182,-49.29394,3,0.77,19.7,,,
DESJ0102+0158,289961235,15.65959,1.98243,3,0.81,19.7,,,
DESJ0102-1500,289516803,15.51229,-15.00786,2,0.45,17.6,,,
DESJ0102-2911,291358790,15.73954,-29.18939,2.7,0.41,16.9,cd,,
DESJ0103-4322,289419858,15.77502,-43.38144,2.3,0.62,19.9,,,
DESJ0105+0144,291983478,16.33185,1.74904,3,0.44,17.8,a4,,
DESJ0105-2952,293813558,16.37624,-29.8803,2.3,0.73,19.5,,,
DESJ0105-3725,300793100,16.45017,-37.42846,2,0.52,18.9,,,
DESJ0105-3939,293220440,16.41856,-39.65728,2,0.43,17.8,,,
DESJ0106-4432,293872042,16.74639,-44.53373,3,0.51,19.3,,,
DESJ0106-6258,293662059,16.71496,-62.97051,2.3,0.75,19.5,,,
DESJ0109-0455,295037190,17.29452,-4.91948,2,0.7,19.4,d,,
DESJ0109-3335,301649992,17.46945,-33.59256,2.2,0.61,17.8,b,,
DESJ0112-0434,297291474,18.07535,-4.58298,2,0.55,19.2,,,
DESJ0112-1902,297683272,18.17142,-19.04563,2,0.63,18.8,,,
DESJ0112-5509,298183415,18.17438,-55.1647,2.3,0.79,20.1,,,
DESJ0113-2924,298513392,18.48794,-29.4109,2.7,0.62,20.1,,,
DESJ0114-3613,304672421,18.53489,-36.22043,2.7,0.53,19,,,
DESJ0115-3520,299965546,18.92008,-35.33872,2.7,0.55,18.7,,,
DESJ0116-2437,303683708,19.19494,-24.61724,2.3,0.49,18.9,,,
DESJ0116-2812,306051370,19.03047,-28.20691,2.3,0.57,19.4,,,
DESJ0117-0527,306602282,19.49477,-5.45492,3,0.57,19.4,,,
DESJ0117-2428,305408672,19.48697,-24.47351,2.3,0.6,19.6,,,
DESJ0118-6156,356474720,19.6774,-61.937,2.7,0.36,17.9,d,,
DESJ0120-1524,352509235,20.21765,-15.40024,2.7,0.14,19.8,,,
DESJ0120-1820,354176405,20.10736,-18.33381,2.7,0.56,19.7,,,
DESJ0120-5143,356634575,20.17597,-51.73141,3,0.53,18.9,a1,,
DESJ0121-2430,350999635,20.2893,-24.51592,2.3,0.46,18.6,,,
DESJ0122-3654,217857957,20.61365,-36.90738,2,0.46,18.2,,,
DESJ0122-5837,217795122,20.50437,-58.62184,2.3,0.5,19.4,a1,,
DESJ0124-0157,221584166,21.17193,-1.95944,2,0.82,20.5,,,
DESJ0124-1443,223066247,21.22109,-14.71738,2.7,0.46,18.6,,,
DESJ0124-2401,217262328,21.08599,-24.02993,2.7,0.65,19,,,
DESJ0124-2918,222540376,21.11886,-29.31561,2,0.52,19.1,,,
DESJ0124-5207,219528181,21.13009,-52.11745,3,0.89,20.7,,,
DESJ0125-3645,266734513,21.26461,-36.76638,2.7,0.77,19.5,,,
DESJ0125-4142,224929412,21.38994,-41.70499,2.7,0.58,19.7,a1,,
DESJ0126-1316,223750447,21.54952,-13.27835,2.7,0.71,20,,,
DESJ0127-4532,226005640,21.97158,-45.54274,3,0.54,19.2,,,
DESJ0129-1142,223226715,22.38341,-11.70389,2,0.4,18.7,,,
DESJ0130-1520,226417019,22.61039,-15.33691,2.7,0.63,18.9,,,
DESJ0130-1600,226454845,22.7106,-16.00237,2.3,0.67,19.3,,,
DESJ0130-3744,227384193,22.51201,-37.74938,3,0.68,18.6,d,,
DESJ0132-4707,229648634,23.20825,-47.127,2,0.65,19.2,,,
DESJ0133-1252,229855710,23.34212,-12.867,3,0.71,19.9,,,
DESJ0133-3137,231118197,23.36279,-31.61788,2,0.64,20,,,
DESJ0133-6434,231207919,23.47773,-64.57028,3,0.39,17.3,,,
DESJ0134-2007,231379862,23.51597,-20.11916,2.3,0.82,20.1,,,
DESJ0134-2910,233143229,23.56563,-29.17774,2.3,0.48,19.5,,,
DESJ0135-1724,232664847,23.8146,-17.40428,2,0.59,20.1,d,,
DESJ0135-2033,234710389,23.92831,-20.55986,3,0.6,18.6,,,
DESJ0135-4232,233214974,23.84512,-42.53987,3,0.41,18.3,a1,,
DESJ0136+0008,232681341,24.1631,0.13836,2,0.39,17.3,,,
DESJ0136-1946,234789337,24.17633,-19.76814,2,0.56,20,d,,
DESJ0136-2200,233940448,24.21191,-22.00758,2.3,0.65,19.4,,,
DESJ0137-0830,232424091,24.3285,-8.51552,2.3,0.51,19.2,,,
DESJ0138-2844,235536548,24.59567,-28.73555,3,0.44,18.6,d,,
DESJ0141-1713,250156458,25.27558,-17.22326,2.7,0.61,19,,,
DESJ0141-4040,249306554,25.39168,-40.67592,3,0.73,19.5,,,
DESJ0142-1648,250131070,25.6457,-16.80487,3,0.6,19.5,,,
DESJ0142-1831,266036534,25.7203,-18.52105,3,0.69,19,,,
DESJ0143-0850,266637953,25.86222,-8.83925,3,0.68,19.6,,,
DESJ0143-5010,252503033,25.80483,-50.17021,2,0.83,20.2,,,
DESJ0144-0007,250028514,26.01673,-0.12953,2,0.55,19,,,
DESJ0144-1142,266563942,26.13855,-11.70328,2.7,0.2,20.5,c,,
DESJ0145+0402,266307302,26.48478,4.04139,2.7,0.66,19.8,,,
DESJ0145-0455,266806536,26.26791,-4.93084,2.7,0.6,19,a20,,
DESJ0145-3541,269158080,26.44493,-35.69093,3,0.49,18.8,,,
DESJ0146-0929,267163838,26.73342,-9.49779,3,0.46,17.4,b,,
DESJ0147-1206,268993332,26.808,-12.11332,2.3,0.64,20.2,d,,
DESJ0147-4726,258039666,26.92084,-47.44452,2.3,0.47,18.8,a1,d,
DESJ0148-2251,254368847,27.13131,-22.85774,2.3,0.62,19.2,d,,
DESJ0149-1306,258360663,27.47387,-13.10269,2.7,0.78,20.1,,,
DESJ0149-1349,257546600,27.32835,-13.81795,2.7,0.84,20.3,,,
DESJ0149-1658,256687047,27.27158,-16.98188,2.3,0.63,18.6,d,,
DESJ0149-3137,257110637,27.28328,-31.6273,2.7,0.71,19.1,,,
DESJ0149-3806,254428301,27.43714,-38.11493,2.3,0.54,18.6,,,
DESJ0149-3825,255329067,27.35922,-38.4254,2.7,0.4,17.9,,,
DESJ0150-0242,258491830,27.67649,-2.7018,2,0.62,19.6,,,
DESJ0150-0304,253888373,27.53794,-3.0773,3,0.68,20.4,d,,
DESJ0150-2216,255897453,27.70849,-22.27092,2.7,0.41,18.2,d,,
DESJ0151-3237,257318192,27.95172,-32.62105,2.3,0.44,17.3,b,,
DESJ0152-5838,263627869,28.06807,-58.64509,2.3,0.48,19,,,
DESJ0153-1351,260170996,28.33026,-13.85861,2.3,0.41,19.9,,,
DESJ0154-4828,258225641,28.71909,-48.48199,2.3,0.4,17.6,,,
DESJ0156-1011,151384552,29.17803,-10.18339,2.3,0.76,19.7,,,
DESJ0156-6417,270068234,29.0112,-64.29168,2,0.7,19.6,,,
DESJ0157-5311,262725875,29.46787,-53.19866,2.3,0.78,19.1,,,
DESJ0158-0039,62581880,29.6032,-0.66649,2.7,0.6,19.1,,,
DESJ0158-1301,61814814,29.68192,-13.0258,2,0.5,18.6,,,
DESJ0158-2912,61748499,29.5639,-29.20502,2.7,0.65,18.6,d,,
DESJ0159-1856,63651238,29.78989,-18.94999,2.3,0.4,18,d,,
DESJ0159-3413,65150639,29.76662,-34.21786,2.5,0.47,17.4,b,,
DESJ0159-4317,64583005,29.87848,-43.2991,2,0.45,18.4,,,
DESJ0159-4818,67328558,29.94591,-48.30353,2.3,0.71,19.8,,,
DESJ0201-1551,63636548,30.28319,-15.85473,2.7,0.49,18.6,d,,
DESJ0201-2739,66305304,30.43611,-27.66177,3,0.88,20.6,,,
DESJ0202-2156,66995978,30.64198,-21.93967,2,0.41,18.2,b,,
DESJ0202-2445,69413913,30.5277,-24.75106,2.3,0.71,19.4,,,
DESJ0202-4105,68398953,30.62112,-41.08867,2,0.78,19.2,,,
DESJ0203-2338,67920213,30.76671,-23.63405,3,0.62,18.9,c,,
DESJ0205-0123,69436305,31.32083,-1.38902,2.7,0.69,19.6,,,
DESJ0205-0208,70123404,31.48689,-2.14297,2,0.59,19.2,a19,,
DESJ0205-3539,68181311,31.35872,-35.66317,2.7,0.45,17.7,,,
DESJ0205-4038,75249343,31.27043,-40.64118,2,0.58,19.3,a 1,,
DESJ0206-0114,69428156,31.55611,-1.23817,2.3,0.77,19.2,,,
DESJ0206-1807,74397517,31.71314,-18.12256,2.3,0.75,20.2,,,
DESJ0206-2054,78494330,31.59147,-20.90561,2.3,0.62,19.4,,,
DESJ0207-2726,79306856,31.77773,-27.44577,2.7,0.42,17.3,c,,
DESJ0209-0643,77958138,32.37218,-6.71994,2,0.42,18.3,a5,,
DESJ0210-0119,87141292,32.70906,-1.31827,2,0.67,20,d,,
DESJ0210-5351,87591843,32.65344,-53.8646,2.7,0.51,19.7,,,
DESJ0212-0852,90442652,33.10507,-8.86967,2.7,0.69,19.5,a6,,
DESJ0214-0206,92012386,33.53333,-2.10789,2,0.67,19.3,,,
DESJ0215-2909,152641072,33.80953,-29.15711,2.7,0.7,19.9,,,
DESJ0216-2920,100388067,34.12915,-29.3352,2,0.55,19.9,,,
DESJ0217-0513,101828110,34.40483,-5.22483,2.7,0.55,19.7,"a7,8,22",,d
DESJ0220-3833,111920425,35.24032,-38.55092,3,0.42,17.6,c,,
DESJ0220-4530,113247709,35.17619,-45.50086,2.3,0.86,20.1,,,
DESJ0220-5335,109454820,35.05973,-53.58636,2.3,0.79,20.1,,,
DESJ0221-0210,112068778,35.41721,-2.1723,2.3,0.57,19.6,a19,,
DESJ0225-0737,118955435,36.44218,-7.62732,2.3,0.58,18.6,a7,d,
DESJ0225-1505,116423633,36.44888,-15.0922,2.3,0.67,19.3,,,
DESJ0226+0206,117170717,36.62452,2.11304,2,0.6,20.2,d,,
DESJ0227-4718,118887468,36.78734,-47.3155,3,0.68,18.6,,,
DESJ0228-5547,131561232,37.18616,-55.79889,2,0.47,18,d,,
DESJ0229-0338,121270216,37.37707,-3.64339,2,0.64,19.4,a19,,
DESJ0229-2908,128509254,37.37911,-29.13786,3,0.87,20,,,
DESJ0230-3122,133666062,37.56991,-31.36689,2.3,0.48,19.2,,,
DESJ0232+0013,129621911,38.04683,0.22756,2.3,0.81,20,d,,
DESJ0232-0323,130346208,38.20774,-3.39054,3,0.47,18,"ac 1,4",,
DESJ0233-0438,306380750,38.27943,-4.64393,2,0.58,19.6,"a 8,22",,
DESJ0234-6222,308603002,38.64655,-62.3818,2.3,0.64,19.5,,,
DESJ0235-4510,311169228,38.77465,-45.18173,2,0.69,19.9,,,
DESJ0235-4818,308226924,38.86317,-48.30583,2,0.47,19.6,,,
DESJ0236+0321,311007100,39.20024,3.35832,2,0.41,19.2,,,
