SDSS_ID,theta_e_sie,log_stellar_mass
SDSSJ0143−1006,1.23,11.53
SDSSJ0159−0006,0.92,11.03
SDSSJ0324+0045,0.55,11.31
SDSSJ0324−0110,0.63,11.71
SDSSJ0753+3416,1.23,11.23
SDSSJ0754+1927,1.04,11.13
SDSSJ0757+1956,1.62,11.34
SDSSJ0826+5630,1.01,11.38
SDSSJ0847+2348,0.96,11.19
SDSSJ0851+0505,0.91,11.05
SDSSJ0920+3028,0.7,12.08
SDSSJ0955+3014,0.54,11.77
SDSSJ0956+5539,1.17,11.46
SDSSJ1010+3124,1.14,11.68
SDSSJ1031+3026,0.88,11.22
SDSSJ1040+3626,0.59,10.99
SDSSJ1041+0112,0.6,11.07
SDSSJ1048+1313,1.18,11.22
SDSSJ1051+4439,0.99,11.16
SDSSJ1056+4141,0.72,11.12
SDSSJ1101+1523,1.18,11.23
SDSSJ1116+0729,0.82,11.29
SDSSJ1127+2312,1.25,11.44
SDSSJ1137+1818,1.29,11.31
SDSSJ1142+2509,0.79,11.21
SDSSJ1144+0436,0.76,10.74
SDSSJ1213+2930,1.35,11.09
SDSSJ1301+0834,1,10.92
SDSSJ1330+1750,1.01,11.74
SDSSJ1403+3309,1.02,10.78
SDSSJ1430+6104,1,11.32
SDSSJ1433+2835,1.53,11.45
SDSSJ1541+3642,1.17,11.25
SDSSJ1543+2202,0.78,11.74
SDSSJ1550+2020,1.01,11.3
SDSSJ1553+3004,0.84,11.26
SDSSJ1607+2147,0.57,11.55
SDSSJ1633+1441,1.39,11.39
SDSSJ2309−0039,1.14,11.68
SDSSJ2324+0105,0.59,11.32
