Name,RA,DEC,Type,mag g,mag r,mag z,Probability,z,Survey
DESI-005.7434+00.1667,5.7434,0.1667,DEV,21.28,20.92,20.37,0.835,,
DESI-009.9958+00.5677,9.9958,0.5677,DEV,21.03,19.43,18.25,0.989,0.5255,SDSS
DESI-010.2439-02.0572,10.2439,-2.0572,DEV,20.22,19.19,18.57,0.917,,
DESI-013.5957-05.7105,13.5957,-5.7105,DEV,21.44,19.59,18.44,0.961,0.5036,BOSS
DESI-013.9264-01.0692,13.9264,-1.0692,DEV,20.54,19.17,18.29,0.982,,
DESI-013.9873-00.6495,13.9873,-0.6495,DEV,21.16,19.61,18.38,0.973,0.5659,SDSS
DESI-014.6980+00.2355,14.698,0.2355,DEV,21.83,20.16,19.24,0.996,,
DESI-014.7160-00.3509,14.716,-0.3509,COMP,18.77,17.67,16.99,0.997,0.2399,SDSS
DESI-015.0586+01.8480,15.0586,1.848,DEV,20.54,18.81,17.88,0.934,0.4046,BOSS
DESI-015.1785-18.8779,15.1785,-18.8779,DEV,21.37,19.92,19.14,0.908,,
DESI-015.1912+03.7221,15.1912,3.7221,COMP,20.21,18.37,17.43,0.97,0.3979,BOSS
DESI-015.2403-16.9542,15.2403,-16.9542,COMP,19.98,18.72,17.92,0.922,,
DESI-015.2570-17.7561,15.257,-17.7561,DEV,21.28,19.4,18.18,0.991,,
DESI-015.3628-00.9079,15.3628,-0.9079,COMP,21.16,19.28,18.18,0.901,0.4635,SDSS
DESI-015.3792-03.3438,15.3792,-3.3438,COMP,19.82,18.69,17.99,0.962,,
DESI-015.8070-17.7531,15.807,-17.7531,DEV,20.75,18.99,18.07,0.931,,
DESI-015.9669-18.0271,15.9669,-18.0271,DEV,21.1,19.46,18.53,0.987,,
DESI-016.1507-00.5780,16.1507,-0.578,DEV,21.26,19.72,18.79,0.99,,
DESI-016.1763-02.4491,16.1763,-2.4491,COMP,22.77,20.87,18.88,0.936,,
DESI-016.1889-00.5809,16.1889,-0.5809,DEV,21.79,20.1,19.26,0.99,,
DESI-016.2032-00.6226,16.2032,-0.6226,DEV,21.65,19.85,18.86,0.973,,
DESI-016.2995-00.0690,16.2995,-0.069,DEV,21.93,20.32,19.27,0.994,,
DESI-016.3200+00.9163,16.32,0.9163,DEV,21.36,19.78,18.85,0.923,,
DESI-016.4625+02.8614,16.4625,2.8614,DEV,21.49,19.84,18.87,0.913,,
DESI-016.4883-00.1774,16.4883,-0.1774,COMP,22.85,21.02,19.35,0.992,,
DESI-016.5355-00.2139,16.5355,-0.2139,DEV,18.28,17.16,16.42,0.922,0.1971,SDSS
DESI-016.8009-16.8580,16.8009,-16.858,DEV,20.94,19.41,18.53,0.901,,
DESI-016.8554-00.7320,16.8554,-0.732,COMP,20.47,19,17.61,0.976,,
DESI-016.9199-05.3919,16.9199,-5.3919,DEV,21.3,19.64,18.44,0.97,0.5214,BOSS
DESI-016.9228-03.8680,16.9228,-3.868,COMP,21.06,19.46,18.18,0.979,,
DESI-016.9682+00.3567,16.9682,0.3567,COMP,19.59,17.97,17.09,1,0.3133,SDSS
DESI-017.2362-17.9241,17.2362,-17.9241,DEV,21.44,19.79,19.01,0.924,,
DESI-018.0415+00.1861,18.0415,0.1861,DEV,19.67,18.29,17.5,0.916,,
DESI-018.4701+03.4968,18.4701,3.4968,DEV,22.37,20.52,19.23,0.996,0.5517,BOSS
DESI-019.8976-12.8253,19.8976,-12.8253,DEV,21.96,20.12,18.95,0.945,,
DESI-020.3517+00.1654,20.3517,0.1654,DEV,21.01,19.92,18.75,0.971,0.769,BOSS
DESI-020.5273-04.8117,20.5273,-4.8117,DEV,21.2,19.36,18.4,0.985,0.3978,BOSS
DESI-021.5439-00.5883,21.5439,-0.5883,DEV,21.33,19.79,18.95,0.985,,
DESI-021.8518-05.7560,21.8518,-5.756,DEV,21.75,20.15,19.11,0.944,,
DESI-021.9637+00.0975,21.9637,0.0975,DEV,21.43,20.15,19.39,0.967,,
DESI-022.6104-15.3370,22.6104,-15.337,DEV,21.47,19.7,18.37,0.98,,
DESI-023.6659-06.9344,23.6659,-6.9344,COMP,22.22,20.65,19.76,0.921,,
DESI-023.7790+01.5306,23.779,1.5306,DEV,22.82,21.13,19.6,0.921,,
