,GAMA_ID,lambdar_log_mstar,lambdar_mstar,lambdar_log_mstar_error,z,m_half_re,sigma_star,D_lens,theta_e_pm,theta_e_sis
0,3853225,12.233379,1711509700000.0,0.110780895,0.26996,2153361200000.0,422.2013366431817,815.10986,3.2766902,2.576222231808435
1,915066,11.601152,399164960000.0,0.07389636,0.49462,349006230000.0,280.4554144226103,1203.2738,1.0857238,1.1367678269013484
2,574940,11.675965,474204100000.0,0.1129394,0.30322,432861840000.0,294.3650557589838,885.37634,1.4095993,1.2523237665046485
3,417345,11.777861,599598600000.0,0.12809293,0.3599,580388060000.0,314.4262798269179,993.8413,1.5405852,1.428834047950562
4,278496,11.594459,393059760000.0,0.11352954,0.30608,342346500000.0,279.2433651040432,891.17993,1.249497,1.1269634777811017
5,386558,,,,,,,,,
6,706422,,,,,,,,,
7,517175,11.739088,548388140000.0,0.47091326,0.33554,519102070000.0,306.636425597325,948.88043,1.491096,1.3589128440152596
8,663530,,,,,,,,,
9,204805,,,,,,,,,
10,205110,11.706788,509082370000.0,0.10736765,0.37722,473018100000.0,300.29454569839703,1024.3729,1.3699188,1.3032838214852391
11,522150,11.737518,546409580000.0,0.111779965,0.27731,516761980000.0,306.3251419173711,831.08673,1.5896704,1.3561552285047054
12,71118,11.761103,576902860000.0,0.13228141,0.18352,553058440000.0,325.70399686253575,606.22296,1.9255478,1.5331699267578722
13,289775,11.457304,286618350000.0,0.12143207,0.19367,230686770000.0,265.34448841837457,632.894,1.2171129,1.01756991464344
14,55728,11.396803,249346280000.0,0.10546145,0.29147,193818980000.0,245.72062525774828,861.1415,0.956414,0.8726243738735515
15,132503,12.002094,1004833870000.0,0.11368765,0.43906,1106650600000.0,363.5201493042978,1124.355,2.000039,1.9098580609061588
16,30877,,,,,,,,,
17,125108,11.449647,281609270000.0,0.11389551,0.33968,225658340000.0,254.26746515778365,956.6927,0.97909427,0.9343846664031205
18,84149,11.613103,410301330000.0,0.11197541,0.36976,361219620000.0,282.63238471476495,1011.36475,1.204805,1.1544841150646736
19,609353,11.383007,241550000000.0,0.11026174,0.38474,186273680000.0,243.5370150961845,1037.269,0.8543091,0.8571840345987859
20,31088,11.38125,240574940000.0,0.11345048,0.26806,185334250000.0,243.26036725543423,810.937,0.9637609,0.8552376904446862
21,123747,11.693406,493635170000.0,0.09186974,0.31692,455145550000.0,297.70567509499,912.84875,1.4235107,1.2809091944699353
22,39881,11.461014,289077170000.0,0.119648345,0.44993,233163150000.0,256.1444053657905,1140.5648,0.91149646,0.9482303792374032
23,185867,,,,,,,,,
24,290072,11.808733,643773370000.0,0.09389932,0.24153,634320800000.0,320.7701701579721,750.7993,1.8530091,1.4870722346972822
25,610781,11.674708,472833650000.0,0.09854465,0.41423,431298700000.0,294.1257549847383,1085.8375,1.2705497,1.2502884689753484
26,402671,,,,,,,,,
27,131807,11.307946,203210520000.0,0.11278902,0.32206,150080900000.0,231.9919312031346,922.94476,0.8129425,0.7778392898508493
28,186111,11.649123,445782700000.0,0.09998033,0.40392,400679100000.0,289.29679262609625,1069.2153,1.2341012,1.2095709651946256
29,123669,,,,,,,,,
30,779446,,,,,,,,,
31,570355,11.585249,384812300000.0,0.14171372,0.43371,333391000000.0,277.5843320263293,1116.233,1.1017537,1.113612287352634
32,265719,11.297693,198469260000.0,0.112736806,0.27791,145716670000.0,230.45800626077067,832.37854,0.8434885,0.7675871870980664
33,569641,11.636249,432761470000.0,0.34240407,0.35971,386103200000.0,286.89689849079144,993.5001,1.2567611,1.1895859400456048
34,238425,11.609417,406833730000.0,0.10189763,0.43373,357407650000.0,281.9591302717587,1116.2635,1.1407318,1.1489905067581019
35,16104,11.208284,161541600000.0,0.10369993,0.28656,112654400000.0,217.50433308191634,850.82654,0.7335649,0.6837226111314778
36,93270,11.414855,259929160000.0,0.124327525,0.2793,204155670000.0,248.60751741663222,835.3666,0.9966146,0.8932491865542417
37,568653,11.479119,301383400000.0,0.103776984,0.36286,245635870000.0,259.1627174702659,999.1422,0.99957925,0.9707092456725179
38,15836,11.802802,635041500000.0,0.114839725,0.33276,623584540000.0,319.5415875052395,943.59503,1.6388524,1.4757027712072004
39,237852,10.934971,86093595000.0,0.14035365,0.17892,51298685000.0,186.53763076390527,593.9349,0.59247315,0.5028946654383608
40,16353,11.08265,120962340000.0,0.11757286,0.35552,78470324000.0,200.5232354738673,985.93506,0.5687398,0.5811303035742286
41,297460,11.45787,286991840000.0,0.11292268,0.32852,231062590000.0,255.6238341312509,935.4697,1.0019244,0.9443800522598172
42,106206,11.847324,703597640000.0,0.10931997,0.33001,708839900000.0,328.8805192212129,938.3334,1.7521871,1.5632211227196007
43,261815,11.51355,326249450000.0,0.1109028,0.29684,271225130000.0,265.00098580722664,872.2945,1.1241349,1.0149370227598846
44,297426,10.75553,56954802000.0,0.27606204,0.30282,30605935000.0,162.27216397328147,884.5606,0.37499374,0.38056791537419854
45,362314,11.660809,457939980000.0,0.110755,0.36723,414384400000.0,291.49237890883853,1006.9053,1.2932794,1.2280004474785222
46,593173,11.345712,221672440000.0,0.108689345,0.34113,167314010000.0,237.73054613812994,959.4128,0.84187657,0.8167969211344306
47,106370,11.604831,402560120000.0,0.12058665,0.38416,352720850000.0,281.1236878111333,1036.2825,1.1761466,1.1421916962731467
