,GAMA_ID,ID,RA,DEC,SCORE,STELLAR_MASS,Z
0,376338.0,2660.0,132.98734,1.50468,30.0,303399993344.0,0.3271999955177307
1,197972.0,2007.0,137.85838,-0.7528,24.0,355100000256.0,0.33730000257492065
2,371400.0,2275.0,131.20438,1.00064,18.0,202099998720.0,0.2948000133037567
3,204703.0,887.0,139.07321000000002,-0.40157,18.0,274200002560.0,0.3179999887943268
4,279505.0,654.0,137.68558000000002,1.05648,18.0,129800003584.0,0.2263000011444092
5,386188.0,1677.0,130.0474,2.10251,18.0,241499996160.0,0.3598000109195709
6,345423.0,1938.0,129.35904,1.94427,42.0,379200012288.0,0.39579999446868896
7,231282.0,2058.0,183.07338,1.88558,58.0,343099998208.0,0.3813999891281128
8,561459.0,2187.0,183.60019,-0.53509,42.0,226399993856.0,0.24789999425411224
9,584826.0,817.0,180.41615,-0.20731,32.0,217700007936.0,0.2494000047445297
10,98583.0,2369.0,178.83655,0.8845700000000001,30.0,154500005888.0,0.28279998898506165
11,583457.0,3357.0,174.8049,-0.00257,28.0,98730000384.0,0.2635999917984009
12,231281.0,1822.0,183.06471,1.91352,28.0,376099995648.0,0.4004000127315521
13,186586.0,1180.0,185.1191,-1.5125,26.0,180999995392.0,0.28189998865127563
14,145278.0,1551.0,183.83234,-1.41031,24.0,215899996160.0,0.19830000400543213
15,561967.0,1252.0,185.57948,-0.56586,22.0,336700014592.0,0.4584000110626221
16,41064.0,2347.0,184.11784,-0.80592,22.0,157400006656.0,0.34860000014305115
17,585328.0,3234.0,182.36838,-0.00889,18.0,134699999232.0,0.20469999313354487
18,136604.0,1642.0,175.87355,-1.74164,58.0,286600003584.0,0.10599999874830246
19,49576.0,704.0,221.51454,-0.6712899999999999,58.0,371599998976.0,0.28760001063346863
20,15790.0,1258.0,216.7776,0.7208,42.0,120400003072.0,0.295199990272522
21,568366.0,2664.0,214.82709,-0.42031,28.0,113499996160.0,0.2651000022888184
22,569270.0,1690.0,218.5273,-0.4848,26.0,173900005376.0,0.3384000062942505
23,64911.0,1741.0,220.62912000000003,-0.39809,26.0,213999992832.0,0.3700999915599823
24,107432.0,987.0,219.88698,0.8993899999999999,20.0,429900005376.0,0.3127000033855438
25,92918.0,2098.0,217.90807,0.4978,18.0,403299991552.0,0.4061999917030335
26,92606.0,416.0,216.96487,0.48495,18.0,445200007168.0,0.3819000124931336
27,250289.0,2730.0,214.36708,1.99311,28.0,189400006656.0,0.4009000062942505
