,GAMA_ID,ID,RA,DEC,SCORE
0,3899011,2251.0,131.33397,-0.9156299999999999,64.0
1,376338,2660.0,132.98734,1.50468,30.0
2,323152,2967.0,130.54643000000002,1.64325,30.0
3,663364,2669.0,140.35284,-0.97414,28.0
4,3629152,1933.0,135.88863999999998,-0.9748700000000001,26.0
5,3575500,1906.0,129.23265,-1.57512,26.0
6,197972,2007.0,137.85838,-0.7528,24.0
7,3883690,2756.0,134.57492,-1.55142,22.0
8,,,,,
9,3911769,1704.0,138.66089,-1.11639,20.0
10,371400,2275.0,131.20438000000001,1.00064,18.0
11,204703,887.0,139.07321000000002,-0.40157,18.0
12,279505,654.0,137.68558000000002,1.0564799999999999,18.0
13,386188,1677.0,130.0474,2.1025099999999997,18.0
14,3599660,635.0,129.29506,-0.99631,18.0
15,3891172,3056.0,139.22725,-1.54519,16.0
16,345824,2914.0,131.13,2.0881,16.0
17,3913677,983.0,139.91696000000002,-1.27522,16.0
18,,,,,
19,3575548,160.0,129.34523000000002,-1.6112,16.0
20,,,,,
21,3866174,1406.0,136.72111999999998,-1.9572599999999998,16.0
22,,,,,
23,,,,,
24,,,,,
25,,,,,
26,,,,,
27,3581425,632.0,132.27286999999998,-1.55421,12.0
28,3611074,3200.0,135.45943,-1.35515,12.0
29,,,,,
30,600305,245.0,134.75916,0.23814000000000002,12.0
31,,,,,
32,,,,,
33,,,,,
34,419170,3097.0,139.04584,2.67026,8.0
35,,,,,
36,,,,,
37,,,,,
38,574628,1908.0,136.47115,-0.0465,8.0
39,347923,3477.0,139.59097,2.2376,8.0
40,,,,,
41,,,,,
42,209026,2577.0,131.487,0.09612000000000001,8.0
43,371400,936.0,131.20436,1.00066,8.0
44,,,,,
45,3896212,1483.0,129.80597,-0.8302200000000001,8.0
46,,,,,
47,517603,3099.0,132.94489,2.51329,8.0
48,387064,1962.0,135.07565,2.33718,8.0
49,,,,,
50,211045,2222.0,140.92513,0.009290000000000001,8.0
51,419067,1179.0,138.61973999999998,2.63477,8.0
52,209589,186.0,133.93068,0.11314,8.0
53,419305,853.0,139.63683999999998,2.88689,8.0
54,549039,702.0,130.01102,-0.45857,8.0
55,380872,3397.0,130.36703,1.8108400000000002,8.0
56,,,,,
57,3886216,1340.0,136.0962,-1.58451,8.0
58,,,,,
59,214697,1387.0,130.99026,0.61736,8.0
60,,,,,
61,,,,,
62,,,,,
63,,,,,
64,347735,3455.0,138.8727,2.31796,4.0
65,,,,,
66,205060,176.0,140.5011,-0.38913000000000003,4.0
67,,,,,
68,,,,,
69,208601,1717.0,129.66942,0.05318,4.0
70,3908476,3328.0,136.56941,-1.21495,4.0
71,301292,1269.0,133.16687,1.23096,4.0
72,,,,,
73,,,,,
74,,,,,
75,,,,,
76,514128,189.0,138.65686000000002,2.594,4.0
77,345881,3478.0,131.45035,2.07844,4.0
78,,,,,
79,323200,3430.0,130.73718,1.55961,4.0
80,3626517,445.0,133.9433,-0.8440799999999999,4.0
81,3898249,1810.0,130.94731000000002,-0.8981299999999999,4.0
82,,,,,
83,,,,,
84,,,,,
85,323638,1213.0,132.58467,1.5456299999999998,4.0
86,575209,178.0,138.84712,-0.004370000000000001,4.0
87,,,,,
88,,,,,
89,209548,2605.0,133.88799,0.07105,4.0
90,3587969,755.0,135.9112,-1.8344900000000002,4.0
91,3911772,1578.0,138.6586,-1.30571,4.0
92,204098,1435.0,136.57536000000002,-0.41515,4.0
93,,,,,
94,3579761,1736.0,131.40182,-1.50206,4.0
95,371604,1507.0,132.12458999999998,0.8834799999999999,4.0
96,324417,2127.0,135.78537,1.75453,4.0
97,,,,,
98,,,,,
99,381602,3407.0,133.20793,1.8080200000000002,4.0
100,302278,481.0,137.08908,1.26083,4.0
101,3897932,825.0,130.79007,-0.8879100000000001,4.0
102,302198,2287.0,136.76682,1.37017,4.0
103,549447,791.0,131.45369,-0.5431199999999999,4.0
104,518046,1601.0,134.80893,2.70237,4.0
105,,,,,
106,372022,1262.0,133.80411,1.07405,4.0
107,418840,3176.0,137.91167,2.6070599999999997,4.0
108,387617,573.0,137.07834,2.38994,4.0
109,,,,,
110,518676,1158.0,137.46832,2.81481,4.0
111,215373,1607.0,133.64789,0.46448,4.0
112,204881,2644.0,139.86987,-0.35594000000000003,4.0
113,345595,3294.0,130.02208000000002,1.9054099999999998,4.0
114,,,,,
115,387244,1819.0,135.56916999999999,2.36495,4.0
116,575245,1767.0,139.11212,-0.04138,4.0
117,642024,3084.0,140.5068,-1.2726600000000001,4.0
118,375921,2906.0,131.2854,1.36765,4.0
119,422178,2520.0,129.74776,2.48322,4.0
120,345716,1854.0,130.765,1.91609,4.0
121,371549,63.0,131.7998,0.90489,4.0
122,,,,,
123,386213,3008.0,130.6132,2.12032,4.0
124,517068,3063.0,130.5939,2.46245,4.0
125,3585654,2560.0,134.66179,-1.65638,4.0
126,3611088,1743.0,135.38005,-1.29831,4.0
127,214595,1608.0,130.76736,0.49778,4.0
128,622085,1841.0,130.78285,0.70524,4.0
129,,,,,
130,,,,,
131,3609514,970.0,134.4621,-1.32389,4.0
132,3616694,3082.0,138.8031,-1.37304,4.0
133,,,,,
134,,,,,
135,3599660,36.0,129.29506999999998,-0.99634,4.0
136,208755,964.0,130.07007,0.17884,4.0
137,324461,1293.0,136.0175,1.7465400000000002,4.0
138,279786,2958.0,139.34386,1.02357,4.0
139,,,,,
140,,,,,
141,373093,2897.0,139.30637,1.19776,4.0
142,517251,729.0,131.42297,2.4245,4.0
143,3882191,2558.0,133.69397,-1.36032,54.0
144,623351,2429.0,138.37955,0.65181,12.0
145,,,,,
146,345423,1938.0,129.35904,1.9442700000000002,42.0
147,345423,1800.0,129.35904,1.94428,4.0
148,,,,,
149,231282,2058.0,183.07338000000001,1.88558,58.0
150,561459,2187.0,183.60019,-0.53509,42.0
