,GAMA_ID,RA,DEC,z1,z2,spec_type,STELLAR_MASS,theta_e,z_ratio
0,198082,138.2815,-0.66673,0.163,0.321,PG+ELG,30250000384,0.514681077389241,1.96932515337423
1,202448,129.69546,-0.38179,0.418,0.738,PG+ELG,,,1.76555023923445
2,204140,136.63883,-0.35203,0.282,0.449,PG+ELG,85779996672,0.5727918204001,1.59219858156028
3,209295,132.61013,0.11972,0.313,0.608,PG+ELG,84560003072,0.616542229699178,1.94249201277955
4,377486,137.90642,1.62916,0.169,0.334,PG+ELG,,,1.97633136094675
5,388201,138.99892,2.51429,0.167,0.299,PG+ELG,36470001664,0.528754786137202,1.79041916167665
6,573657,129.41362,-0.01039,0.274,0.657,PG+ELG,,,2.3978102189781
7,7242,176.29229,0.73915,0.529,0.642,PG+ELG,,,1.21361058601134
8,98399,177.78321,0.91949,0.4,0.569,PG+ELG,,,1.4225
9,136800,176.05287,-1.77459,0.264,0.589,PG+ELG,86619996160,0.724576815732382,2.23106060606061
10,220682,182.7435,1.59787,0.289,0.361,PG+ELG,112999997440,0.475550044648598,1.24913494809689
11,220854,183.53083,1.55306,0.266,0.327,PG+ELG,53719998464,0.330530471187531,1.22932330827068
12,273903,185.65375,1.33724,0.217,0.415,PG+ELG,,,1.91244239631336
13,289278,181.64301,1.74123,0.294,0.701,PG+ELG,,,2.3843537414966
14,583469,175.01863,-0.14991,0.314,0.747,PG+ELG,143799992320,0.877387693841425,2.37898089171974
15,14983,213.6345,0.74998,0.273,0.528,PG+ELG,103499997184,0.728677330283457,1.93406593406593
16,15554,215.97479,0.67592,0.142,0.227,PG+ELG,18350000128,0.374596471260078,1.59859154929577
17,65298,222.49875,-0.40713,0.253,0.649,PG+ELG,90939998208,0.797509267881767,2.56521739130435
18,77892,215.20808,0.17706,0.316,0.62,PG+ELG,61110001664,0.524380867390256,1.9620253164557
19,106821,217.327,0.86711,0.16,0.452,PG+ELG,10750000128,0.354780495373721,2.825
20,320384,218.13475,1.68924,0.109,0.192,PG+ELG,5746999808,0.257092293301089,1.76146788990826
21,485756,217.11896,-1.79492,0.269,0.404,PG+ELG,24689999872,0.29823175870763,1.50185873605948
22,508116,215.95117,-1.68131,0.202,0.305,PG+ELG,27910000640,0.36784615027655,1.50990099009901
