,Unnamed: 0,GAMA_ID,RA,DEC,z_lens,D_lens,D_source,magphys_mstar,lambdar_log_mstar,lambdar_mstar,lambdar_log_mstar_error,m_half_re,sigma_star,theta_e_pm,theta_e_sis
0,0,198082,138.2815,-0.66673,0.163,550,920,30250000384.0,10.882681,76327480000.0,0.09797711,44131004000.0,180.0717172279979,0.5121503801080908,0.3769458971699673
1,1,202448,129.69546,-0.38179,0.418,1091,1453,,,,,,,,
2,2,204140,136.63883,-0.35203,0.282,841,1139,85779996672.0,11.181007000000001,151707620000.0,0.12889047,104148240000.0,213.69928751504676,0.5131853204122607,0.3453606078065607
3,3,209222,132.36771000000002,0.1636,0.128,449,1331,14250000384.0,10.628404,42501444000.0,0.21481526,21227424000.0,151.68487521838787,0.504627274085897,0.4407062387003259
4,4,209295,132.61013,0.11972000000000001,0.313,905,1337,84560003072.0,11.387013,243788630000.0,0.114744395,188434100000.0,244.16914223707985,0.7394888583765493,0.5568112562327916
5,5,279956,140.14186999999998,0.97341,0.336,949,1313,,,,,,,,
6,6,301818,135.32929,1.22984,0.247,763,1193,121500000256.0,11.491164,309859060000.0,0.14738633,254300910000.0,261.1903570123497,0.9881564067849335,0.7107492359509616
7,7,302719,138.94058,1.33144,0.40399999999999997,1069,1321,147399999488.0,11.507252000000001,321552400000.0,0.13253546,266352850000.0,263.9233026551342,0.6215680838238774,0.38408496684137455
8,8,371208,130.50925,1.02071,0.077,285,1422,4812000256.0,9.972547,9387427000.0,0.16672446,3214222000.0,90.60585551637554,0.27073595683305496,0.18973502579325446
9,9,377486,137.90642,1.62916,0.16899999999999998,566,945,,,,,,,,
10,10,383284,140.6575,2.1373599999999997,0.19399999999999998,633,961,42750001152.0,10.795195,62401440000.0,0.11525589,34307254000.0,169.75087629689938,0.3877629869279141,0.28428151249311057
11,11,388201,138.99892,2.5142900000000004,0.16699999999999998,561,876,36470001664.0,10.917814,82758810000.0,0.12020416,48827048000.0,184.39093819710718,0.5043732020949914,0.3533944358290476
12,12,417645,132.51888,2.29438,0.10800000000000001,387,1150,8476000256.0,10.355897,22693263000.0,0.122939534,9688663000.0,126.21117423020357,0.3674428314716425,0.30548959572939993
13,13,573657,129.41362,-0.01039,0.27399999999999997,823,1385,,,,,,,,
14,14,575653,140.77658,-0.11463,0.32,918,1184,132299997184.0,11.501012,316965400000.0,0.11517567,261611900000.0,262.85989334493945,0.7213937030915184,0.44869651923313547
15,15,663372,140.42683,-1.0920100000000001,0.22399999999999998,709,940,81979998208.0,11.181472,151869950000.0,0.11718748,104287560000.0,213.76351796383233,0.542044816920097,0.3245827340891462
16,16,905359,139.63437,-0.60728,0.585,1312,1468,268600000512.0,11.709037,511725240000.0,0.10906053,476089600000.0,300.7317985684686,0.5598564721811964,0.2777994347001113
17,17,3626956,134.23367,-0.80412,0.267,808,1452,,,,,,,,
