,GAMA_ID,STELLAR_MASS,Z,LENS_SCORE,RA,DEC
0,511867,5.46E+10,0.055,35.22%,216.39,-1.11
1,485873,4.91E+10,0.054,34.95%,217.75,-1.80
2,164479,1.18E+10,0.099,35.68%,177.66,-2.82
3,165259,1.01E+10,0.102,33.58%,180.44,-2.82
4,70022,8.05E+10,0.060,36.81%,178.02,0.07
5,171055,3.71E+09,0.131,30.77%,176.81,-2.30
6,170898,2.32E+11,0.122,33.61%,176.47,-2.34
7,184275,4.41E+10,0.124,31.73%,175.92,-1.44
8,84050,5.47E+10,0.119,36.58%,175.80,0.48
9,7104,1.77E+10,0.075,33.33%,175.71,0.83
10,136581,4.70E+09,0.085,38.88%,175.67,-1.66
11,40666,1.04E+10,0.107,36.02%,182.47,-0.79
12,55245,1.27E+11,0.094,31.41%,181.08,-0.32
13,560204,8.50E+09,0.084,38.02%,179.66,-0.48
14,70282,4.26E+10,0.107,65.54%,179.40,0.13
15,144068,2.38E+10,0.145,33.04%,178.83,-1.41
16,185451,8.22E+10,0.108,30.30%,180.28,-1.61
17,124486,8.54E+10,0.144,42.62%,179.73,-2.52
18,289994,1.85E+10,0.114,33.26%,184.24,1.85
19,32675,1.22E+10,0.146,52.72%,185.71,-1.11
20,491505,1.64E+09,0.076,42.97%,212.15,-1.51
21,543556,4.74E+09,0.087,56.97%,212.00,-0.99
22,106562,8.99E+10,0.127,36.39%,216.63,0.84
23,593852,2.25E+11,0.131,38.63%,218.08,-0.04
24,593691,2.31E+10,0.108,34.84%,217.51,-0.12
25,568545,3.00E+10,0.051,35.50%,215.50,-0.59
26,460645,3.55E+10,0.119,30.71%,213.23,-1.72
27,93803,8.89E+10,0.040,47.77%,222.49,0.56
28,93310,3.09E+10,0.138,57.51%,219.92,0.51
29,136604,2.87E+11,0.106,31.65%,175.87,-1.74
30,371601,6.24E+09,0.061,31.99%,132.02,1.03
31,600421,2.62E+10,0.056,42.02%,135.49,0.28
32,574423,5.08E+10,0.054,46.43%,135.76,-0.20
33,600679,3.73E+09,0.101,41.93%,136.83,0.25
34,324764,4.65E+10,0.104,42.28%,137.20,1.73
35,218733,9.77E+10,0.141,41.96%,140.30,0.89
36,320551,1.30E+10,0.078,52.96%,218.68,1.78
37,342699,2.85E+10,0.088,45.71%,216.90,2.13
38,363319,3.34E+10,0.098,45.75%,218.85,2.57
39,418788,5.58E+10,0.144,34.31%,137.69,2.75
40,202397,5.89E+08,0.052,34.73%,129.45,-0.24
41,422113,2.02E+10,0.120,49.96%,129.42,2.60
42,422228,2.84E+10,0.112,30.21%,129.94,2.59
43,573840,1.52E+10,0.135,31.52%,130.33,-0.21
44,521819,4.33E+09,0.079,49.69%,131.37,2.91
45,196837,4.74E+10,0.105,48.73%,132.91,-0.70
46,372045,2.46E+10,0.119,37.83%,133.97,0.98
47,197611,1.01E+10,0.116,31.94%,136.03,-0.72
48,216186,1.04E+10,0.147,45.97%,137.07,0.53
49,3632594,8.57E+10,0.136,32.67%,138.25,-0.96
50,3578853,6.54E+10,0.122,31.95%,130.98,-1.62
51,3909064,4.52E+09,0.078,42.05%,136.99,-1.15
52,3593943,2.14E+10,0.138,54.57%,139.75,-1.87
53,3599976,3.31E+09,0.110,30.95%,129.39,-1.10
54,3610455,1.22E+10,0.127,33.08%,135.09,-1.21
55,287627,2.35E+10,0.134,32.28%,174.20,1.69
56,39718,8.95E+09,0.081,38.31%,177.94,-0.72
57,70376,1.56E+10,0.131,31.36%,179.63,0.06
58,40957,2.21E+09,0.124,33.43%,183.74,-0.69
59,272460,4.66E+09,0.133,32.87%,179.50,1.43
60,164403,1.98E+10,0.090,40.66%,177.42,-2.73
61,586565,7.34E+09,0.108,35.43%,185.45,-0.01
62,238271,7.08E+10,0.129,33.17%,213.73,1.58
63,568546,6.70E+08,0.051,61.26%,215.49,-0.59
64,16199,1.80E+10,0.124,32.97%,217.86,0.71
65,299118,1.29E+10,0.146,55.96%,223.35,1.14
66,229499,1.62E+08,0.045,45.22%,223.08,1.04
67,570151,4.78E+09,0.140,37.09%,222.24,-0.54
68,594681,4.09E+09,0.146,41.18%,221.11,-0.06
69,567899,1.43E+10,0.139,32.99%,213.61,-0.53
70,543671,1.23E+10,0.141,40.57%,212.42,-0.90
71,267558,8.64E+08,0.136,33.47%,222.89,2.71
72,363983,2.25E+10,0.144,40.00%,222.28,2.44
73,342161,5.74E+09,0.128,39.02%,214.48,2.30
74,342874,5.50E+09,0.140,31.74%,217.71,2.19
75,771379,1.79E+09,0.137,35.80%,219.92,0.51
